SIP_ID,Date,rm_id,client_id,SIP_Status,SIP_Amount
SIP_001584,2026-04-23,RM_0041,CL_00751,Stopped,20073.58
SIP_005925,2026-05-08,RM_0008,CL_00727,,43379.68
SIP_004259,2026-05-15,RM_0001,CL_00072,Paused,14686.3
SIP_005082,2026-04-13,RM_0053,CL_00852,Active,25471.95
SIP_004391,2026-04-20,RM_0009,CL_00688,Stopped,46886.41
SIP_001061,2026-04-23,RM_0022,CL_00511,Stopped,7906.45
SIP_005922,2026-04-06,RM_0010,CL_00805,Paused,33114.33
SIP_002416,2026-06-12,RM_0053,CL_00557,Stopped,19377.46
SIP_004370,2026-05-05,RM_0043,CL_00245,Active,28291.15
SIP_004236,2026-05-19,RM_0002,CL_00563,Active,40892.03
SIP_002163,2026-05-05,RM_0007,CL_00880,Paused,34145.0
SIP_000706,2026-04-05,RM_0006,CL_00841,Active,27795.71
SIP_000200,2026-06-10,RM_0021,CL_00847,Active,33676.53
SIP_004394,2026-05-20,RM_0033,CL_00666,Active,47838.55
SIP_002653,2026-05-04,RM_0006,CL_00491,Active,5701.22
SIP_005083,2026-04-23,RM_0039,CL_00547,Active,29154.17
SIP_003243,2026-06-01,RM_0002,CL_00642,Active,7877.38
SIP_000306,2026-04-25,RM_0004,CL_00896,Active,48406.99
SIP_004521,2026-04-19,RM_0010,CL_00109,Active,18858.75
SIP_002896,2026-04-15,RM_0049,CL_00592,Stopped,37519.82
SIP_005522,2026-06-21,RM_0004,CL_00453,Active,48811.92
SIP_005749,2026-05-01,RM_0017,CL_00604,Stopped,9169.76
SIP_004111,2026-04-18,RM_0060,CL_00607,Paused,32121.14
SIP_005924,2026-05-17,RM_0002,CL_00084,Stopped,41245.12
SIP_002114,2026-05-18,RM_0015,CL_00059,Active,15180.01
SIP_002081,2026-05-21,RM_0041,CL_00507,Active,10423.21
SIP_002066,2026-05-14,RM_0001,CL_00330,Active,47464.61
SIP_004627,2026-05-18,RM_0027,CL_00272,Active,10750.39
SIP_001367,2026-06-25,RM_0044,CL_00754,Stopped,45775.84
SIP_000939,2026-05-09,RM_0040,CL_00036,Active,38847.23
SIP_000177,2026-06-05,RM_0043,CL_00684,Active,12572.98
SIP_005309,2026-04-27,RM_0001,CL_00783,Paused,16929.67
SIP_002590,2026-04-22,RM_0039,CL_00658,Active,23613.44
SIP_005287,2026-04-22,RM_0021,CL_00048,Active,11887.25
SIP_000701,2026-05-14,RM_0002,CL_00408,Paused,23111.11
SIP_005720,2026-05-31,RM_0028,CL_00680,Paused,9752.51
SIP_004379,2026-05-19,RM_0021,CL_00847,Active,12757.06
SIP_004310,2026-05-12,RM_0043,CL_00882,Active,48157.7
SIP_001486,2026-04-24,RM_0004,CL_00887,Stopped,45221.0
SIP_004351,2026-06-18,RM_0028,CL_00275,Stopped,19607.44
SIP_003522,2026-05-05,RM_0052,CL_00731,Active,26619.71
SIP_003200,2026-05-21,RM_0057,CL_00073,Active,30321.08
SIP_004393,2026-05-06,RM_0027,CL_00042,Active,3893.65
SIP_003434,2026-04-09,RM_0056,CL_00179,Active,4925.03
SIP_005675,2026-05-06,RM_0040,CL_00154,Active,20616.65
SIP_000297,2026-05-26,RM_0045,CL_00034,Active,1276.61
SIP_000008,2026-06-30,RM_0012,CL_00719,Active,25972.44
SIP_001749,2026-04-28,RM_0040,CL_00448,Stopped,33624.78
SIP_003955,2026-05-19,RM_0008,CL_00323,Paused,4035.08
SIP_003159,2026-06-21,RM_0033,CL_00666,Active,33315.37
SIP_000377,2026-05-18,RM_0053,CL_00626,Paused,34885.11
SIP_003091,2026-05-11,RM_0001,CL_00546,Active,9119.76
SIP_005136,2026-04-10,RM_0022,CL_00664,Active,15891.62
SIP_003605,2026-05-31,RM_0041,CL_00613,Paused,1022.25
SIP_005430,2026-05-27,RM_0012,CL_00451,Active,42643.22
SIP_004110,2026-05-31,RM_0004,CL_00007,Active,7998.22
SIP_002162,2026-05-03,RM_0015,CL_00155,Active,10359.83
SIP_002627,2026-05-30,RM_0057,CL_00073,Stopped,34882.16
SIP_003720,2026-04-18,RM_0053,CL_00005,Active,5869.68
SIP_005385,2026-06-08,RM_0028,CL_00079,Paused,9533.24
SIP_003058,2026-05-25,RM_0043,CL_00037,Active,14906.17
SIP_000641,2026-06-04,RM_0002,CL_00479,Active,15253.8
SIP_003622,2026-04-24,RM_0033,CL_00745,Stopped,10145.61
SIP_003463,2026-04-25,RM_0039,CL_00361,Active,39310.79
SIP_003636,2026-06-28,RM_0058,CL_00068,Paused,6774.37
SIP_001966,2026-05-17,RM_0058,CL_00234,Active,40125.72
SIP_005253,2026-07-02,RM_0059,CL_00299,Active,3506.02
SIP_003964,2026-04-23,RM_0001,CL_00793,Active,34836.71
SIP_003466,2026-06-09,RM_0004,CL_00661,Paused,25328.97
SIP_002037,2026-06-10,RM_0049,CL_00279,Active,41910.19
SIP_003143,2026-04-18,RM_0037,CL_00785,Paused,28214.16
SIP_004804,2026-04-10,RM_0053,CL_00850,Paused,44352.67
SIP_005909,2026-06-22,RM_0059,CL_00491,Active,27832.7
SIP_002242,2026-06-04,RM_0045,CL_00508,Active,16869.8
SIP_001988,2026-06-04,RM_0004,CL_00550,Stopped,13415.18
SIP_004317,2026-05-05,RM_0017,CL_00419,Stopped,49916.92
SIP_002520,2026-04-15,RM_0059,CL_00878,Active,40113.81
SIP_000817,2026-05-15,RM_0056,CL_00236,Paused,7305.26
SIP_003870,2026-05-12,RM_0004,CL_00142,Paused,22146.43
SIP_002337,2026-06-16,RM_0009,CL_00499,Active,30133.48
SIP_001821,2026-06-21,RM_0043,CL_00624,Paused,9167.83
SIP_004507,2026-07-04,RM_0058,CL_00575,Paused,21731.83
SIP_001872,2026-06-04,RM_0009,CL_00688,Active,16668.78
SIP_000127,2026-06-07,RM_0040,CL_00415,Active,31390.3
SIP_003760,2026-05-23,RM_0049,CL_00501,Stopped,23996.43
SIP_000199,2026-04-20,RM_0057,CL_00686,Paused,41008.43
SIP_005856,2026-04-11,RM_0022,CL_00811,Stopped,45155.39
SIP_005616,2026-05-10,RM_0053,CL_00497,Paused,31398.57
SIP_005836,2026-05-19,RM_0043,CL_00153,Active,39349.66
SIP_005325,2026-06-18,RM_0056,CL_00724,Active,39385.68
SIP_002740,2026-06-11,RM_0017,CL_00863,Active,5418.12
SIP_000614,2026-05-06,RM_0053,CL_00595,Active,13739.35
SIP_000602,2026-06-10,RM_0010,CL_00835,Stopped,13220.09
SIP_005201,2026-05-24,RM_0009,CL_00339,Active,40882.36
SIP_000851,2026-05-31,RM_0010,CL_00031,Paused,46973.39
SIP_004174,2026-04-13,RM_0041,CL_00029,Active,38900.22
SIP_001516,2026-04-09,RM_0016,CL_00122,Stopped,28119.3
SIP_003907,2026-05-10,RM_0057,CL_00382,Stopped,36045.19
SIP_000154,2026-06-18,RM_0015,CL_00356,Active,27510.62
SIP_003377,2026-04-27,RM_0041,CL_00656,Active,15161.64
SIP_004148,2026-04-11,RM_0049,CL_00749,Active,49431.37
SIP_001659,2026-06-20,RM_0006,CL_00646,Paused,38306.06
SIP_002877,2026-06-11,RM_0027,CL_00294,Active,3640.39
SIP_001001,2026-05-05,RM_0039,CL_00874,Stopped,31271.79
SIP_001132,2026-04-16,RM_0002,CL_00213,Active,7491.07
SIP_000099,2026-06-28,RM_0006,CL_00630,Paused,30400.72
SIP_003717,2026-06-18,RM_0015,CL_00356,Paused,30694.27
SIP_004083,2026-06-07,RM_0016,CL_00355,Paused,31693.09
SIP_002031,2026-05-22,RM_0033,CL_00174,Active,39482.45
SIP_004537,2026-05-29,RM_0033,CL_00174,Stopped,48074.39
SIP_001809,2026-05-10,RM_0006,CL_00471,Paused,20732.9
SIP_001598,2026-05-12,RM_0060,CL_00523,Active,43214.54
SIP_002550,2026-05-24,RM_0056,CL_00126,Stopped,788.13
SIP_001041,2026-05-30,RM_0002,CL_00838,Paused,5913.66
SIP_000119,2026-05-24,RM_0001,CL_00051,Paused,13967.16
SIP_003799,2026-06-07,RM_0049,CL_00295,Paused,21239.47
SIP_002925,2026-06-19,RM_0008,CL_00743,,8175.13
SIP_001665,2026-04-18,RM_0039,CL_00706,Active,35757.42
SIP_001791,2026-05-10,RM_0049,CL_00409,Stopped,9666.16
SIP_005743,2026-06-24,RM_0001,CL_00790,Active,40897.14
SIP_003574,2026-04-14,RM_0028,CL_00832,Paused,22188.55
SIP_005402,2026-06-27,RM_0037,CL_00364,Active,31924.0
SIP_002622,2026-04-21,RM_0041,CL_00420,Active,39379.43
SIP_004454,2026-06-19,RM_0057,CL_00672,Active,38823.99
SIP_004672,2026-05-23,RM_0053,CL_00098,Active,40856.94
SIP_002912,2026-05-13,RM_0017,CL_00640,Active,38100.17
SIP_003723,2026-04-25,RM_0027,CL_00331,Paused,30098.41
SIP_004242,2026-04-13,RM_0035,CL_00513,Stopped,15008.24
SIP_000263,2026-05-01,RM_0028,CL_00145,Active,15715.25
SIP_002725,2026-05-05,RM_0033,CL_00869,Stopped,9447.88
SIP_002075,2026-05-12,RM_0028,CL_00165,Active,16798.07
SIP_003190,2026-06-27,RM_0011,CL_00314,Active,7715.36
SIP_004965,2026-04-28,RM_0033,CL_00666,Stopped,37745.16
SIP_004601,2026-06-07,RM_0053,CL_00626,Paused,35955.78
SIP_000647,2026-06-29,RM_0041,CL_00589,Stopped,31569.42
SIP_000629,2026-06-16,RM_0017,CL_00373,Active,31330.27
SIP_001692,2026-05-12,RM_0039,CL_00374,Active,2704.83
SIP_005200,2026-06-04,RM_0049,CL_00409,Active,10119.74
SIP_002432,2026-05-01,RM_0052,CL_00631,Active,651.97
SIP_001622,2026-06-18,RM_0039,CL_00487,Active,12830.51
SIP_004720,2026-04-20,RM_0008,CL_00493,Paused,3414.13
SIP_002112,2026-05-25,RM_0037,CL_00442,Active,21891.43
SIP_003755,2026-06-15,RM_0053,CL_00131,Active,4084.49
SIP_005840,2026-04-23,RM_0037,CL_00785,Paused,44577.58
SIP_000168,2026-05-05,RM_0039,CL_00529,Active,30822.0
SIP_000667,2026-06-09,RM_0028,CL_00522,Stopped,1648.76
SIP_004461,2026-06-04,RM_0039,CL_00651,Active,1519.06
SIP_003070,2026-06-30,RM_0006,CL_00630,Stopped,15286.75
SIP_000913,2026-04-09,RM_0052,CL_00505,Active,48585.11
SIP_005149,2026-05-30,RM_0017,CL_00640,Active,13516.12
SIP_005596,2026-04-12,RM_0040,CL_00047,Paused,20242.42
SIP_004462,2026-06-15,RM_0008,CL_00454,Stopped,23585.98
SIP_004006,2026-06-14,RM_0060,CL_00388,Active,2559.19
SIP_003759,2026-06-30,RM_0001,CL_00278,Active,26301.16
SIP_001580,2026-06-22,RM_0002,CL_00534,Active,22004.12
SIP_003751,2026-04-14,RM_0037,CL_00867,Active,30713.39
SIP_004341,2026-05-04,RM_0015,CL_00407,Active,48178.82
SIP_000125,2026-05-03,RM_0053,CL_00220,Paused,46204.2
SIP_000664,2026-06-01,RM_0056,CL_00194,Active,727.23
SIP_004582,2026-06-17,RM_0056,CL_00236,Active,24851.49
SIP_004004,2026-04-30,RM_0039,CL_00771,Active,43580.49
SIP_005372,2026-06-06,RM_0040,CL_00492,Paused,15800.14
SIP_003827,2026-04-20,RM_0006,CL_00630,Paused,12139.04
SIP_004509,2026-05-15,RM_0052,CL_00870,Active,23259.13
SIP_003503,2026-04-15,RM_0001,CL_00630,Active,8474.37
SIP_004374,2026-05-09,RM_0006,CL_00395,Stopped,30359.1
SIP_001116,2026-06-23,RM_0027,CL_00426,Paused,11121.47
SIP_001243,2026-04-12,RM_0010,CL_00805,Active,22473.57
SIP_005145,2026-05-06,RM_0012,CL_00719,Paused,10612.39
SIP_002420,2026-05-12,RM_0006,CL_00647,Stopped,39965.59
SIP_005684,2026-07-02,RM_0060,CL_00240,Active,43885.01
SIP_002950,2026-05-23,RM_0027,CL_00556,Active,47917.24
SIP_001123,2026-05-17,RM_0006,CL_00348,Stopped,24891.49
SIP_004217,2026-06-27,RM_0006,CL_00395,Paused,26309.38
SIP_001832,2026-06-22,RM_0039,CL_00579,Active,26403.46
SIP_001905,2026-05-31,RM_0002,CL_00241,Active,14131.57
SIP_005496,2026-04-27,RM_0028,CL_00313,Paused,49428.9
SIP_001294,2026-06-29,RM_0058,CL_00800,Paused,28509.11
SIP_000945,2026-04-30,RM_0028,CL_00527,Stopped,46854.52
SIP_005417,2026-04-27,RM_0028,CL_00772,Active,701.99
SIP_005939,2026-05-06,RM_0043,CL_00328,Stopped,7700.9
SIP_001569,2026-06-08,RM_0033,CL_00745,Active,16796.29
SIP_001430,2026-07-04,RM_0057,CL_00382,Active,37498.61
SIP_004905,2026-06-03,RM_0037,CL_00678,Active,16183.22
SIP_004197,2026-04-09,RM_0043,CL_00567,Paused,10587.61
SIP_003600,2026-04-22,RM_0007,CL_00820,Active,42347.3
SIP_004631,2026-06-01,RM_0004,CL_00560,Stopped,34782.56
SIP_005017,2026-04-12,RM_0059,CL_00491,Active,33603.04
SIP_002502,2026-05-02,RM_0041,CL_00397,Paused,12904.78
SIP_003166,2026-05-02,RM_0057,CL_00440,Stopped,45393.39
SIP_001299,2026-07-01,RM_0022,CL_00401,Active,37479.34
SIP_003484,2026-04-15,RM_0016,CL_00474,Paused,12422.95
SIP_004021,2026-07-02,RM_0049,CL_00501,Paused,14844.04
SIP_005969,2026-06-01,RM_0037,CL_00445,Active,23303.5
SIP_005139,2026-05-09,RM_0008,CL_00454,Active,44212.8
SIP_004477,2026-04-07,RM_0004,CL_00555,Active,15424.04
SIP_004364,2026-06-18,RM_0010,CL_00788,Stopped,46690.28
SIP_003287,2026-06-24,RM_0002,CL_00494,Paused,44768.72
SIP_005779,2026-05-17,RM_0027,CL_00556,Active,44101.18
SIP_005360,2026-06-07,RM_0043,CL_00306,Paused,21954.6
SIP_000854,2026-04-07,RM_0004,CL_00572,Paused,8082.06
SIP_000173,2026-05-16,RM_0045,CL_00643,Active,35308.26
SIP_000035,2026-05-08,RM_0009,CL_00499,Paused,5465.47
SIP_000017,2026-05-19,RM_0031,CL_00587,Active,35160.24
SIP_002800,2026-06-05,RM_0053,CL_00249,Stopped,47947.82
SIP_004976,2026-06-22,RM_0028,CL_00009,Active,39187.54
SIP_000555,2026-06-21,RM_0060,CL_00050,Active,43283.05
SIP_000341,2026-06-29,RM_0004,CL_00453,Active,13127.78
SIP_003884,2026-06-21,RM_0041,CL_00782,Stopped,16236.48
SIP_005928,2026-06-19,RM_0027,CL_00286,Active,39115.22
SIP_002819,2026-06-18,RM_0021,CL_00847,Active,8552.99
SIP_002742,2026-06-18,RM_0049,CL_00279,Stopped,20712.02
SIP_002333,2026-06-04,RM_0057,CL_00369,Active,43687.68
SIP_003031,2026-05-24,RM_0033,CL_00745,Active,15289.09
SIP_001698,2026-05-10,RM_0056,CL_00891,Active,31577.1
SIP_003376,2026-04-30,RM_0001,CL_00072,Active,45470.1
SIP_005770,2026-04-13,RM_0052,CL_00530,Stopped,47871.14
SIP_000426,2026-05-04,RM_0033,CL_00666,Paused,39017.4
SIP_003468,2026-06-17,RM_0017,CL_00336,Stopped,29447.26
SIP_003414,2026-06-02,RM_0028,CL_00032,Stopped,3625.16
SIP_004662,2026-06-30,RM_0015,CL_00155,Paused,13973.04
SIP_003848,2026-06-28,RM_0040,CL_00372,Stopped,46684.77
SIP_001597,2026-05-26,RM_0027,CL_00087,Paused,24219.34
SIP_000296,2026-04-11,RM_0006,CL_00405,Stopped,36356.6
SIP_005964,2026-05-17,RM_0027,CL_00426,Active,23211.82
SIP_003501,2026-04-28,RM_0047,CL_00017,Paused,27549.53
SIP_001800,2026-06-06,RM_0058,CL_00068,Paused,42189.65
SIP_003078,2026-06-23,RM_0004,CL_00661,Paused,15253.44
SIP_003568,2026-05-10,RM_0049,CL_00501,Stopped,23712.94
SIP_003559,2026-05-20,RM_0047,CL_00014,Active,44011.88
SIP_002393,2026-04-22,RM_0058,CL_00575,Active,12626.36
SIP_005230,2026-05-15,RM_0054,CL_00816,Active,19418.24
SIP_000246,2026-04-24,RM_0017,CL_00070,Active,23766.27
SIP_005803,2026-06-28,RM_0001,CL_00721,Stopped,40063.24
SIP_003492,2026-05-20,RM_0041,CL_00324,Active,32845.61
SIP_003815,2026-04-08,RM_0002,CL_00200,Active,20050.12
SIP_000807,2026-05-15,RM_0006,CL_00381,Active,47165.9
SIP_003216,2026-06-19,RM_0012,CL_00238,Paused,47761.51
SIP_003022,2026-05-06,RM_0017,CL_00705,Stopped,23051.2
SIP_004342,2026-05-29,RM_0027,CL_00458,Active,4877.49
SIP_004215,2026-04-12,RM_0037,CL_00678,Stopped,23736.35
SIP_004480,2026-06-26,RM_0043,CL_00192,Paused,12343.68
SIP_003251,2026-04-05,RM_0006,CL_00405,Active,12248.79
SIP_005357,2026-05-17,RM_0039,CL_00053,Active,47676.31
SIP_003010,2026-06-20,RM_0053,CL_00305,Active,21131.42
SIP_003012,2026-06-17,RM_0039,CL_00717,Active,21724.88
SIP_002100,2026-04-14,RM_0006,CL_00646,Stopped,12998.81
SIP_001321,2026-05-23,RM_0002,CL_00335,Paused,45323.05
SIP_004577,2026-05-30,RM_0040,CL_00787,Active,3248.2
SIP_003123,2026-04-29,RM_0033,CL_00666,Stopped,13355.98
SIP_005187,2026-05-29,RM_0059,CL_00224,Active,31562.47
SIP_005370,2026-06-27,RM_0015,CL_00059,Active,43579.17
SIP_000963,2026-04-06,RM_0004,CL_00661,Stopped,40384.06
SIP_005315,2026-04-18,RM_0028,CL_00605,Paused,45078.9
SIP_003695,2026-06-17,RM_0001,CL_00004,Paused,3944.02
SIP_003318,2026-05-12,RM_0001,CL_00783,,45112.63
SIP_004421,2026-05-07,RM_0017,CL_00317,Active,16948.04
SIP_004390,2026-04-26,RM_0002,CL_00838,Paused,8716.15
SIP_005073,2026-05-05,RM_0040,CL_00274,Stopped,12756.42
SIP_004845,2026-05-28,RM_0049,CL_00508,Active,37461.16
SIP_003140,2026-05-09,RM_0049,CL_00681,Paused,540.01
SIP_000024,2026-06-02,RM_0001,CL_00822,Paused,31533.68
SIP_002681,2026-04-16,RM_0027,CL_00484,Paused,46518.11
SIP_004951,2026-06-01,RM_0006,CL_00244,Active,8615.82
SIP_005782,2026-06-02,RM_0044,CL_00151,Stopped,4518.54
SIP_004371,2026-05-17,RM_0017,CL_00016,Active,31773.24
SIP_000666,2026-06-23,RM_0049,CL_00501,Paused,42788.47
SIP_004005,2026-06-02,RM_0010,CL_00805,Active,39009.24
SIP_000058,2026-05-26,RM_0037,CL_00364,Active,12852.89
SIP_002848,2026-04-10,RM_0037,CL_00468,Active,4754.5
SIP_005810,2026-04-17,RM_0017,CL_00016,Active,31658.15
SIP_004022,2026-04-05,RM_0028,CL_00533,Active,47711.83
SIP_004883,2026-05-27,RM_0004,CL_00142,Paused,20180.0
SIP_004158,2026-05-17,RM_0039,CL_00529,Active,607.53
SIP_002396,2026-06-28,RM_0056,CL_00891,Stopped,16689.55
SIP_005068,2026-05-08,RM_0009,CL_00831,Stopped,13813.14
SIP_005938,2026-06-24,RM_0027,CL_00144,Active,2584.06
SIP_000205,2026-06-15,RM_0015,CL_00812,Stopped,38623.72
SIP_004592,2026-05-20,RM_0028,CL_00009,Active,46333.94
SIP_004548,2026-04-09,RM_0040,CL_00372,Paused,30139.74
SIP_002301,2026-05-26,RM_0028,CL_00264,Active,7443.41
SIP_001100,2026-05-16,RM_0017,CL_00317,Active,38585.28
SIP_004915,2026-06-26,RM_0039,CL_00771,Active,44027.59
SIP_003712,2026-06-04,RM_0027,CL_00331,Active,14252.22
SIP_003685,2026-05-30,RM_0001,CL_00283,Active,44670.79
SIP_003206,2026-05-03,RM_0008,CL_00454,Stopped,1752.4
SIP_005500,2026-04-24,RM_0057,CL_00093,Stopped,22537.91
SIP_005826,2026-04-24,RM_0002,CL_00213,Active,43236.21
SIP_002900,2026-05-07,RM_0039,CL_00568,Active,22583.19
SIP_002300,2026-06-12,RM_0012,CL_00893,Paused,36199.28
SIP_005646,2026-05-07,RM_0027,CL_00484,Paused,23312.23
SIP_005011,2026-05-13,RM_0039,CL_00156,Active,11242.15
SIP_001398,2026-06-11,RM_0033,CL_00701,Active,37713.67
SIP_005109,2026-04-29,RM_0016,CL_00321,Paused,25352.76
SIP_002441,2026-04-09,RM_0052,CL_00731,Active,7256.11
SIP_004545,2026-05-07,RM_0001,CL_00541,,47175.2
SIP_004848,2026-05-03,RM_0053,CL_00009,Paused,48070.54
SIP_005479,2026-04-17,RM_0033,CL_00315,Active,22057.39
SIP_004452,2026-07-03,RM_0015,CL_00013,Active,21866.95
SIP_005400,2026-06-11,RM_0001,CL_00783,Active,36479.35
SIP_000106,2026-05-17,RM_0049,CL_00410,Stopped,15389.56
SIP_000566,2026-04-26,RM_0049,CL_00817,Active,32627.81
SIP_000355,2026-05-26,RM_0008,CL_00023,Paused,3299.87
SIP_004492,2026-06-22,RM_0043,CL_00033,Stopped,34973.18
SIP_000971,2026-07-02,RM_0001,CL_00750,Active,27882.19
SIP_004938,2026-04-18,RM_0001,CL_00762,Active,25054.21
SIP_001117,2026-06-29,RM_0021,CL_00311,Paused,48581.8
SIP_003927,2026-07-04,RM_0001,CL_00905,Active,16963.53
SIP_004920,2026-05-22,RM_0049,CL_00126,Active,40458.83
SIP_000310,2026-05-21,RM_0058,CL_00575,Paused,12011.08
SIP_005274,2026-04-18,RM_0043,CL_00567,Active,28324.04
SIP_004734,2026-05-11,RM_0054,CL_00816,Stopped,38389.18
SIP_001823,2026-05-05,RM_0010,CL_00625,Active,20836.45
SIP_000302,2026-05-09,RM_0045,CL_00387,Stopped,44436.51
SIP_005624,2026-04-21,RM_0049,CL_00114,Paused,3891.32
SIP_005593,2026-05-12,RM_0015,CL_00748,Paused,44276.15
SIP_001480,2026-05-30,RM_0033,CL_00066,Stopped,34187.61
SIP_001878,2026-04-16,RM_0004,CL_00799,Active,11242.58
SIP_004209,2026-04-22,RM_0037,CL_00867,Active,18641.86
SIP_001270,2026-06-05,RM_0007,CL_00820,Stopped,2297.97
SIP_000471,2026-07-02,RM_0027,CL_00371,Stopped,15450.02
SIP_004095,2026-04-14,RM_0022,CL_00089,Active,48628.27
SIP_004570,2026-06-15,RM_0006,CL_00405,Stopped,40555.4
SIP_005759,2026-05-01,RM_0009,CL_00831,Active,22665.11
SIP_002663,2026-05-17,RM_0043,CL_00648,Active,47075.65
SIP_000478,2026-05-21,RM_0001,CL_00650,Paused,10271.83
SIP_004453,2026-05-08,RM_0010,CL_00380,,46150.46
SIP_002859,2026-06-01,RM_0002,CL_00376,Stopped,27209.44
SIP_004014,2026-04-13,RM_0009,CL_00339,Stopped,3576.85
SIP_004147,2026-04-22,RM_0056,CL_00198,Active,29912.72
SIP_005673,2026-05-21,RM_0004,CL_00088,Paused,48912.19
SIP_005649,2026-05-08,RM_0058,CL_00466,Paused,19161.63
SIP_000749,2026-06-25,RM_0015,CL_00193,Active,4194.74
SIP_005506,2026-06-25,RM_0002,CL_00430,Active,21850.9
SIP_000856,2026-07-04,RM_0017,CL_00016,Paused,39087.41
SIP_005044,2026-04-23,RM_0041,CL_00617,Paused,19433.46
SIP_001000,2026-05-31,RM_0047,CL_00538,Paused,30147.89
SIP_005307,2026-07-04,RM_0017,CL_00840,Stopped,16916.38
SIP_004693,2026-05-02,RM_0002,CL_00118,Paused,46245.04
SIP_002454,2026-05-18,RM_0006,CL_00265,Stopped,24813.09
SIP_004639,2026-04-19,RM_0040,CL_00334,Active,22772.07
SIP_005299,2026-04-24,RM_0064,CL_00649,Stopped,42454.71
SIP_000914,2026-04-27,RM_0021,CL_00048,Stopped,24902.88
SIP_002516,2026-04-29,RM_0047,CL_00594,Active,39377.06
SIP_002055,2026-04-17,RM_0052,CL_00731,Active,9084.18
SIP_003526,2026-04-25,RM_0041,CL_00074,Active,28327.81
SIP_000486,2026-04-12,RM_0004,CL_00550,Active,41850.02
SIP_002268,2026-05-05,RM_0015,CL_00621,Active,18464.41
SIP_002128,2026-05-03,RM_0028,CL_00776,Active,33667.63
SIP_000753,2026-06-30,RM_0021,CL_00101,Active,10503.23
SIP_005967,2026-05-22,RM_0040,CL_00334,Active,49110.43
