IAP_ID,Date,rm_id,client_id,iap_amount
IAP_001002,2026-04-27,RM_0057,CL_00369,36004.49
IAP_001663,2026-04-13,RM_0041,CL_00589,36827.07
IAP_000346,2026-05-18,RM_0017,CL_00844,36705.48
IAP_002072,2026-04-16,RM_0006,CL_00646,93987.68
IAP_001598,2026-06-13,RM_0039,CL_00771,12770.09
IAP_001432,2026-05-10,RM_0027,CL_00888,11597.84
IAP_001962,2026-04-09,RM_0045,CL_00635,89044.5
IAP_000107,2026-06-16,RM_0009,CL_00688,3681.08
IAP_000400,2026-04-20,RM_0010,CL_00109,38258.95
IAP_000396,2026-07-03,RM_0041,CL_00397,93459.0
IAP_001390,2026-04-12,RM_0028,CL_00061,49933.48
IAP_000002,2026-04-21,RM_0022,CL_00413,40914.71
IAP_000375,2026-04-10,RM_0027,CL_00502,66249.95
IAP_001414,2026-05-30,RM_0053,CL_00075,66684.83
IAP_001475,2026-06-28,RM_0057,CL_00440,43646.14
IAP_000674,2026-05-10,RM_0027,CL_00097,34065.44
IAP_001261,2026-05-19,RM_0012,CL_00171,59659.12
IAP_000653,2026-05-14,RM_0049,CL_00358,52215.81
IAP_001513,2026-06-19,RM_0035,CL_00513,47340.12
IAP_001732,2026-05-30,RM_0028,CL_00243,60293.67
IAP_001109,2026-04-26,RM_0004,CL_00810,38087.07
IAP_000278,2026-06-15,RM_0002,CL_00494,21395.52
IAP_000171,2026-04-13,RM_0031,CL_00654,57092.47
IAP_001913,2026-04-21,RM_0028,CL_00035,97059.45
IAP_000537,2026-06-19,RM_0045,CL_00779,62654.75
IAP_000561,2026-05-03,RM_0008,CL_00454,35913.67
IAP_002173,2026-05-06,RM_0049,CL_00526,27747.56
IAP_000330,2026-04-11,RM_0033,CL_00857,59240.64
IAP_002094,2026-06-19,RM_0004,CL_00418,51033.61
IAP_000999,2026-06-14,RM_0027,CL_00426,21428.36
IAP_001270,2026-04-19,RM_0039,CL_00704,91605.57
IAP_000034,2026-05-12,RM_0021,CL_00847,43855.89
IAP_001099,2026-04-19,RM_0058,CL_00342,2196.4
IAP_000955,2026-05-29,RM_0015,CL_00621,36770.38
IAP_001019,2026-06-09,RM_0027,CL_00076,51979.92
IAP_001664,2026-04-15,RM_0058,CL_00021,29032.77
IAP_000361,2026-05-18,RM_0006,CL_00456,76877.94
IAP_000965,2026-06-07,RM_0010,CL_00783,97273.3
IAP_001464,2026-05-21,RM_0002,CL_00213,31113.45
IAP_000853,2026-04-24,RM_0043,CL_00856,5759.01
IAP_000946,2026-05-27,RM_0049,CL_00723,42570.49
IAP_001574,2026-06-04,RM_0010,CL_00788,91263.96
IAP_001302,2026-05-18,RM_0057,CL_00672,64943.61
IAP_001141,2026-05-24,RM_0004,CL_00740,31886.68
IAP_001884,2026-04-17,RM_0027,CL_00147,7813.86
IAP_001695,2026-05-08,RM_0017,CL_00419,77243.93
IAP_000503,2026-04-29,RM_0006,CL_00206,6474.73
IAP_001927,2026-06-07,RM_0039,CL_00802,14457.19
IAP_000340,2026-05-18,RM_0010,CL_00805,84379.51
IAP_001254,2026-05-11,RM_0006,CL_00200,46123.45
IAP_000452,2026-05-20,RM_0041,CL_00859,93397.78
IAP_001730,2026-04-06,RM_0040,CL_00047,40888.08
IAP_001777,2026-05-22,RM_0017,CL_00111,43413.85
IAP_001790,2026-06-12,RM_0039,CL_00885,6197.77
IAP_002183,2026-06-21,RM_0056,CL_00198,14606.97
IAP_001025,2026-06-10,RM_0017,CL_00844,12297.04
IAP_000100,2026-05-14,RM_0041,CL_00029,96260.09
IAP_000154,2026-07-03,RM_0015,CL_00877,32832.83
IAP_001899,2026-05-30,RM_0027,CL_00272,72755.78
IAP_000250,2026-04-15,RM_0015,CL_00008,96668.0
IAP_000572,2026-05-14,RM_0057,CL_00329,60835.46
IAP_000525,2026-05-20,RM_0002,CL_00898,24052.53
IAP_002177,2026-06-01,RM_0044,CL_00357,74322.99
IAP_000099,2026-04-20,RM_0017,CL_00111,65203.12
IAP_000649,2026-04-22,RM_0039,CL_00412,96746.04
IAP_002163,2026-06-22,RM_0021,CL_00209,51201.09
IAP_000434,2026-04-12,RM_0033,CL_00784,25618.79
IAP_001412,2026-05-04,RM_0028,CL_00165,20935.07
IAP_001755,2026-05-09,RM_0004,CL_00418,75304.71
IAP_000094,2026-04-15,RM_0043,CL_00328,40604.57
IAP_001454,2026-05-13,RM_0031,CL_00654,97095.46
IAP_000623,2026-06-22,RM_0006,CL_00825,35743.82
IAP_000518,2026-06-02,RM_0033,CL_00784,15863.59
IAP_001227,2026-04-13,RM_0052,CL_00530,22819.97
IAP_001688,2026-07-03,RM_0066,CL_00889,24607.71
IAP_000189,2026-04-19,RM_0012,CL_00893,37705.68
IAP_000813,2026-06-29,RM_0002,CL_00335,14456.92
IAP_000986,2026-04-19,RM_0021,CL_00847,51184.79
IAP_000129,2026-06-01,RM_0043,CL_00851,10885.7
IAP_001987,2026-05-04,RM_0033,CL_00367,72575.83
IAP_001667,2026-04-06,RM_0043,CL_00153,38693.96
IAP_001615,2026-05-21,RM_0022,CL_00580,45329.56
IAP_000150,2026-06-30,RM_0004,CL_00799,51276.04
IAP_001102,2026-06-04,RM_0049,CL_00531,18089.94
IAP_001155,2026-06-02,RM_0056,CL_00179,48524.99
IAP_001903,2026-04-09,RM_0002,CL_00898,9383.52
IAP_002026,2026-04-28,RM_0027,CL_00042,34908.27
IAP_001426,2026-06-14,RM_0002,CL_00433,71890.88
IAP_000317,2026-04-25,RM_0049,CL_00531,85720.77
IAP_000462,2026-06-14,RM_0010,CL_00085,61853.11
IAP_000942,2026-06-16,RM_0015,CL_00435,74335.4
IAP_000762,2026-05-08,RM_0033,CL_00462,8349.68
IAP_001293,2026-06-22,RM_0006,CL_00404,99261.88
IAP_001822,2026-05-22,RM_0039,CL_00156,63368.02
IAP_001697,2026-06-02,RM_0001,CL_00072,60573.69
IAP_001205,2026-06-17,RM_0043,CL_00781,41761.65
IAP_002162,2026-05-10,RM_0058,CL_00234,40423.29
IAP_000819,2026-05-14,RM_0002,CL_00153,81713.76
IAP_000347,2026-05-02,RM_0016,CL_00478,24710.5
IAP_001081,2026-04-25,RM_0015,CL_00696,35063.59
IAP_000581,2026-05-14,RM_0017,CL_00707,88519.27
IAP_000838,2026-05-09,RM_0058,CL_00828,30764.37
IAP_000562,2026-05-22,RM_0037,CL_00890,35899.81
IAP_000417,2026-05-15,RM_0028,CL_00061,82493.84
IAP_000701,2026-06-04,RM_0040,CL_00036,95578.32
IAP_001180,2026-05-13,RM_0022,CL_00811,99694.29
IAP_002021,2026-06-17,RM_0053,CL_00753,48388.18
IAP_001018,2026-06-28,RM_0039,CL_00789,4871.82
IAP_001652,2026-05-14,RM_0053,CL_00557,64036.54
IAP_001179,2026-05-11,RM_0002,CL_00327,15552.34
IAP_002167,2026-05-06,RM_0047,CL_00895,35425.3
IAP_000741,2026-06-14,RM_0058,CL_00068,22915.6
IAP_000036,2026-04-22,RM_0037,CL_00890,46437.94
IAP_000534,2026-05-31,RM_0001,CL_00072,12745.82
IAP_000531,2026-04-26,RM_0022,CL_00089,78113.24
IAP_000276,2026-06-30,RM_0028,CL_00772,59780.57
IAP_000994,2026-07-01,RM_0039,CL_00156,53937.83
IAP_000037,2026-06-04,RM_0039,CL_00598,49755.77
IAP_000765,2026-05-14,RM_0028,CL_00165,52067.4
IAP_002034,2026-06-23,RM_0010,CL_00625,67604.82
IAP_000519,2026-06-05,RM_0053,CL_00424,63293.97
IAP_000635,2026-04-14,RM_0045,CL_00587,29865.81
IAP_001444,2026-07-04,RM_0043,CL_00781,50792.05
IAP_001244,2026-05-13,RM_0012,CL_00685,51453.5
IAP_002127,2026-04-13,RM_0002,CL_00911,96306.19
IAP_000105,2026-06-14,RM_0027,CL_00149,4277.43
IAP_000676,2026-05-25,RM_0041,CL_00488,91613.37
IAP_001533,2026-06-18,RM_0044,CL_00357,73206.6
IAP_000304,2026-06-22,RM_0012,CL_00345,84317.33
IAP_000046,2026-05-30,RM_0061,CL_00168,98465.99
IAP_002038,2026-06-15,RM_0028,CL_00163,57039.32
IAP_000387,2026-06-21,RM_0043,CL_00267,21968.02
IAP_001370,2026-04-21,RM_0015,CL_00184,44983.95
IAP_001394,2026-06-08,RM_0027,CL_00502,76006.96
IAP_001787,2026-06-03,RM_0057,CL_00672,35734.21
IAP_002050,2026-05-06,RM_0049,CL_00817,57844.72
IAP_002131,2026-06-28,RM_0006,CL_00780,20087.91
IAP_001055,2026-06-30,RM_0006,CL_00244,96129.35
IAP_002069,2026-04-14,RM_0033,CL_00869,81556.0
IAP_000042,2026-05-04,RM_0049,CL_00136,17278.65
IAP_002200,2026-05-01,RM_0043,CL_00192,33613.04
IAP_000997,2026-04-06,RM_0011,CL_00682,24051.0
IAP_001792,2026-07-03,RM_0040,CL_00372,48101.72
IAP_000973,2026-05-12,RM_0068,CL_00480,32167.95
IAP_000289,2026-06-23,RM_0028,CL_00264,43764.87
IAP_001436,2026-06-27,RM_0043,CL_00624,43717.81
IAP_001100,2026-06-27,RM_0009,CL_00041,69509.99
IAP_001808,2026-04-24,RM_0033,CL_00186,80636.43
IAP_001008,2026-06-10,RM_0027,CL_00864,35096.26
IAP_001674,2026-05-10,RM_0040,CL_00334,61620.16
IAP_000599,2026-04-13,RM_0015,CL_00146,15065.56
IAP_002049,2026-06-10,RM_0060,CL_00676,2720.32
IAP_002193,2026-05-30,RM_0047,CL_00518,86338.82
IAP_000661,2026-06-23,RM_0004,CL_00210,26307.51
IAP_001347,2026-06-04,RM_0004,CL_00460,80878.16
IAP_000339,2026-04-08,RM_0008,CL_00849,30038.83
IAP_002118,2026-05-16,RM_0015,CL_00193,20612.7
IAP_001408,2026-06-17,RM_0045,CL_00779,41077.05
IAP_000559,2026-06-21,RM_0049,CL_00217,26909.08
IAP_001815,2026-05-30,RM_0008,CL_00493,31599.62
IAP_000616,2026-06-20,RM_0058,CL_00673,58652.01
IAP_001646,2026-04-15,RM_0049,CL_00548,56587.42
IAP_000415,2026-05-25,RM_0001,CL_00477,62495.65
IAP_000759,2026-05-10,RM_0037,CL_00890,6865.82
IAP_001384,2026-05-24,RM_0060,CL_00729,13254.53
IAP_000326,2026-06-04,RM_0012,CL_00198,94054.89
IAP_001626,2026-05-14,RM_0002,CL_00327,67249.42
IAP_001735,2026-05-13,RM_0027,CL_00228,28047.67
IAP_000697,2026-07-02,RM_0058,CL_00652,98785.14
IAP_001295,2026-04-16,RM_0022,CL_00413,18546.34
IAP_001282,2026-05-06,RM_0043,CL_00304,96571.52
IAP_001589,2026-05-25,RM_0017,CL_00602,20899.08
IAP_002153,2026-05-18,RM_0002,CL_00180,16904.39
IAP_001027,2026-06-29,RM_0028,CL_00352,16156.5
IAP_000242,2026-06-23,RM_0015,CL_00792,94507.45
IAP_000583,2026-05-07,RM_0040,CL_00334,54218.22
IAP_001266,2026-06-07,RM_0045,CL_00318,96140.72
IAP_000408,2026-04-12,RM_0043,CL_00794,36656.84
IAP_000365,2026-05-04,RM_0033,CL_00002,50148.89
IAP_000086,2026-04-23,RM_0004,CL_00560,67606.79
IAP_001358,2026-05-28,RM_0006,CL_00404,23092.49
IAP_000539,2026-04-21,RM_0052,CL_00385,68931.82
IAP_000013,2026-06-23,RM_0017,CL_00645,3004.61
IAP_001761,2026-05-31,RM_0039,CL_00498,32562.63
IAP_000494,2026-06-11,RM_0033,CL_00784,43638.54
IAP_001379,2026-04-06,RM_0033,CL_00747,83550.4
IAP_001159,2026-04-17,RM_0045,CL_00202,73122.38
IAP_000652,2026-05-30,RM_0053,CL_00753,36910.98
IAP_002043,2026-05-12,RM_0056,CL_00553,6818.37
IAP_002175,2026-05-18,RM_0015,CL_00521,99224.91
IAP_001189,2026-05-20,RM_0053,CL_00001,50715.27
IAP_001603,2026-06-02,RM_0039,CL_00175,98091.52
IAP_000473,2026-06-16,RM_0016,CL_00355,35651.26
IAP_002151,2026-06-11,RM_0053,CL_00131,54170.11
IAP_000991,2026-06-11,RM_0028,CL_00035,68770.85
IAP_001985,2026-04-25,RM_0002,CL_00010,55430.61
IAP_000834,2026-07-01,RM_0060,CL_00544,78733.31
IAP_001687,2026-05-25,RM_0049,CL_00211,91478.9
IAP_002136,2026-06-10,RM_0015,CL_00162,14356.91
IAP_002187,2026-04-30,RM_0039,CL_00885,39608.84
IAP_001902,2026-05-13,RM_0002,CL_00403,52436.83
IAP_000818,2026-06-19,RM_0028,CL_00889,4644.03
IAP_001592,2026-06-04,RM_0059,CL_00491,89034.01
IAP_001113,2026-07-03,RM_0031,CL_00854,30836.89
IAP_001694,2026-05-13,RM_0040,CL_00715,2162.24
IAP_000027,2026-04-09,RM_0006,CL_00553,25201.21
IAP_001134,2026-04-06,RM_0002,CL_00055,44493.94
IAP_001121,2026-06-24,RM_0052,CL_00530,75925.25
IAP_000141,2026-06-10,RM_0006,CL_00730,31387.18
IAP_000961,2026-07-03,RM_0028,CL_00165,18884.71
IAP_000476,2026-05-10,RM_0040,CL_00154,95548.21
IAP_001954,2026-06-11,RM_0047,CL_00391,9598.2
IAP_000591,2026-05-18,RM_0001,CL_00278,66258.48
IAP_000519,2026-06-05,RM_0053,CL_00424,63293.97
IAP_001776,2026-04-07,RM_0002,CL_00398,74518.46
IAP_001522,2026-05-20,RM_0053,CL_00852,89459.46
IAP_000568,2026-06-23,RM_0053,CL_00850,19525.99
IAP_000740,2026-06-26,RM_0027,CL_00055,42598.13
IAP_001762,2026-06-14,RM_0049,CL_00897,52863.98
IAP_000641,2026-05-23,RM_0041,CL_00150,51158.86
IAP_002083,2026-04-21,RM_0035,CL_00902,80399.4
IAP_001692,2026-04-27,RM_0028,CL_00524,90022.35
IAP_001918,2026-04-10,RM_0004,CL_00572,33991.25
IAP_001527,2026-06-16,RM_0004,CL_00210,6614.64
IAP_001685,2026-05-30,RM_0049,CL_00817,66734.33
IAP_000821,2026-05-13,RM_0047,CL_00215,33277.36
IAP_000563,2026-05-15,RM_0010,CL_00795,60629.78
IAP_001274,2026-05-02,RM_0068,CL_00156,98922.61
IAP_001540,2026-06-21,RM_0047,CL_00697,96825.98
IAP_000601,2026-04-21,RM_0027,CL_00563,7044.98
IAP_000236,2026-04-21,RM_0004,CL_00453,27755.82
IAP_000265,2026-05-27,RM_0056,CL_00450,46013.22
IAP_000370,2026-05-19,RM_0047,CL_00518,35521.97
IAP_001299,2026-06-17,RM_0058,CL_00466,50474.6
IAP_000868,2026-07-02,RM_0017,CL_00016,33021.3
IAP_001571,2026-05-08,RM_0021,CL_00827,44842.31
IAP_000197,2026-06-28,RM_0022,CL_00664,96955.64
IAP_000549,2026-04-13,RM_0052,CL_00845,73846.38
IAP_000954,2026-06-26,RM_0028,CL_00605,23296.46
IAP_001120,2026-06-07,RM_0039,CL_00156,85509.65
IAP_000207,2026-07-02,RM_0015,CL_00720,95678.12
IAP_001984,2026-05-22,RM_0012,CL_00719,66677.28
IAP_000990,2026-05-16,RM_0015,CL_00155,24082.04
IAP_001249,2026-06-14,RM_0049,CL_00501,20203.95
IAP_000521,2026-05-10,RM_0057,CL_00220,82086.23
IAP_000897,2026-05-02,RM_0027,CL_00110,35643.78
IAP_001824,2026-06-25,RM_0060,CL_00700,61374.32
IAP_001550,2026-07-04,RM_0057,CL_00018,6627.93
IAP_001935,2026-06-14,RM_0053,CL_00585,9630.53
IAP_000613,2026-05-06,RM_0012,CL_00713,28070.55
IAP_000702,2026-06-11,RM_0002,CL_00213,58297.26
IAP_001594,2026-07-02,RM_0006,CL_00630,18087.08
IAP_001234,2026-04-29,RM_0022,CL_00026,84671.54
IAP_000735,2026-05-08,RM_0017,CL_00317,10030.49
IAP_001477,2026-06-01,RM_0043,CL_00304,83735.49
IAP_001960,2026-07-01,RM_0027,CL_00097,12188.32
IAP_000493,2026-04-06,RM_0033,CL_00666,85095.12
IAP_002091,2026-06-02,RM_0039,CL_00760,91241.58
IAP_001382,2026-06-06,RM_0007,CL_00897,39882.87
IAP_002124,2026-06-28,RM_0044,CL_00801,88737.84
IAP_001334,2026-05-14,RM_0047,CL_00231,5924.65
IAP_001878,2026-04-18,RM_0027,CL_00331,57398.1
IAP_001111,2026-06-07,RM_0002,CL_00084,86777.87
IAP_000073,2026-06-19,RM_0027,CL_00286,67622.97
IAP_000963,2026-06-05,RM_0049,CL_00136,70171.13
IAP_001503,2026-04-24,RM_0009,CL_00339,66295.31
IAP_001864,2026-06-25,RM_0028,CL_00765,88592.59
IAP_000301,2026-04-18,RM_0049,CL_00211,34218.22
IAP_002134,2026-04-21,RM_0041,CL_00496,35850.81
IAP_001112,2026-04-15,RM_0049,CL_00817,77387.85
IAP_001888,2026-04-21,RM_0004,CL_00239,13166.03
IAP_001823,2026-05-03,RM_0028,CL_00776,95806.03
IAP_000588,2026-05-18,RM_0043,CL_00624,70913.04
IAP_000126,2026-05-13,RM_0041,CL_00397,16192.33
IAP_001520,2026-05-08,RM_0035,CL_00663,83469.8
IAP_000092,2026-04-10,RM_0015,CL_00013,23246.63
IAP_000798,2026-04-26,RM_0028,CL_00776,44950.14
IAP_000976,2026-06-04,RM_0010,CL_00805,31746.11
IAP_002155,2026-06-03,RM_0039,CL_00885,9036.15
IAP_001509,2026-04-29,RM_0035,CL_00820,45739.79
IAP_002154,2026-04-14,RM_0017,CL_00347,35369.99
IAP_000168,2026-05-14,RM_0004,CL_00483,8221.36
IAP_000750,2026-06-26,RM_0031,CL_00039,52003.19
IAP_001098,2026-06-18,RM_0017,CL_00016,48592.48
IAP_000767,2026-05-12,RM_0045,CL_00312,15789.71
IAP_000640,2026-04-25,RM_0041,CL_00613,48379.85
IAP_001304,2026-06-12,RM_0045,CL_00310,33599.24
IAP_000177,2026-06-15,RM_0001,CL_00051,29347.3
IAP_002007,2026-04-07,RM_0043,CL_00567,91118.59
IAP_001847,2026-06-14,RM_0007,CL_00880,55456.43
IAP_001964,2026-04-15,RM_0017,CL_00745,14120.31
IAP_000625,2026-05-18,RM_0041,CL_00337,96684.05
IAP_000385,2026-04-23,RM_0053,CL_00852,34138.18
IAP_000420,2026-06-24,RM_0039,CL_00651,85971.93
IAP_000455,2026-05-10,RM_0041,CL_00496,87429.29
IAP_000255,2026-05-27,RM_0039,CL_00262,13067.62
IAP_001476,2026-04-23,RM_0039,CL_00310,78721.16
IAP_000500,2026-05-31,RM_0028,CL_00533,17373.63
IAP_000757,2026-06-29,RM_0060,CL_00607,19863.74
IAP_002126,2026-04-20,RM_0060,CL_00439,79151.06
IAP_000220,2026-05-14,RM_0033,CL_00259,77150.95
IAP_000182,2026-04-12,RM_0043,CL_00304,45177.65
IAP_001013,2026-04-29,RM_0039,CL_00760,39222.18
IAP_001505,2026-05-25,RM_0040,CL_00638,35987.93
IAP_001582,2026-06-20,RM_0064,CL_00259,3972.91
IAP_001139,2026-06-13,RM_0047,CL_00732,75463.35
IAP_000259,2026-05-07,RM_0004,CL_00615,82091.75
IAP_001203,2026-04-07,RM_0039,CL_00919,89241.24
IAP_001485,2026-06-08,RM_0007,CL_00880,62799.03
IAP_002161,2026-05-04,RM_0008,CL_00220,76522.29
IAP_000313,2026-06-12,RM_0006,CL_00411,70717.69
IAP_001088,2026-04-09,RM_0001,CL_00650,81131.48
IAP_000828,2026-05-08,RM_0044,CL_00151,31949.42
IAP_000862,2026-05-01,RM_0027,CL_00864,79371.03
IAP_002058,2026-06-25,RM_0017,CL_00640,73139.83
IAP_000256,2026-05-10,RM_0053,CL_00807,73118.13
IAP_001275,2026-06-09,RM_0001,CL_00824,25735.02
IAP_000888,2026-05-07,RM_0040,CL_00052,34733.25
IAP_001350,2026-05-08,RM_0002,CL_00084,72370.98
IAP_001706,2026-05-04,RM_0057,CL_00672,60017.15
IAP_000852,2026-04-28,RM_0012,CL_00685,41566.46
IAP_002189,2026-05-20,RM_0010,CL_00129,24109.84
IAP_001704,2026-05-17,RM_0015,CL_00748,40379.8
IAP_001391,2026-05-11,RM_0002,CL_00055,84057.94
IAP_000438,2026-06-17,RM_0053,CL_00001,32839.33
IAP_001078,2026-05-14,RM_0027,CL_00426,16785.01
IAP_002011,2026-04-22,RM_0017,CL_00707,83851.11
IAP_000399,2026-06-07,RM_0001,CL_00463,48546.6
IAP_001535,2026-06-17,RM_0039,CL_00374,7419.07
IAP_000959,2026-06-06,RM_0039,CL_00885,17015.32
IAP_000933,2026-06-07,RM_0010,CL_00805,83923.66
IAP_001339,2026-04-27,RM_0031,CL_00320,33997.12
IAP_000575,2026-06-18,RM_0006,CL_00520,69093.23
IAP_000596,2026-05-20,RM_0059,CL_00389,14828.07
IAP_000947,2026-04-09,RM_0004,CL_00733,54780.18
IAP_000633,2026-05-24,RM_0028,CL_00045,27139.72
IAP_001914,2026-04-18,RM_0039,CL_00598,94260.19
IAP_000061,2026-04-13,RM_0028,CL_00061,72048.99
IAP_000097,2026-05-25,RM_0004,CL_00728,7192.86
IAP_001740,2026-05-13,RM_0033,CL_00273,36242.74
IAP_000506,2026-05-27,RM_0002,CL_00479,74011.65
IAP_001696,2026-06-24,RM_0015,CL_00155,50219.95
IAP_000464,2026-05-17,RM_0052,CL_00530,4810.64
IAP_000017,2026-04-16,RM_0006,CL_00471,37792.19
IAP_000484,2026-04-18,RM_0057,CL_00583,69717.93
IAP_000948,2026-05-24,RM_0043,CL_00192,56700.71
IAP_001479,2026-06-23,RM_0056,CL_00198,81474.2
IAP_000602,2026-05-24,RM_0017,CL_00070,53735.28
IAP_002199,2026-06-26,RM_0033,CL_00758,21809.96
IAP_002008,2026-06-06,RM_0040,CL_00715,85231.8
IAP_000670,2026-05-06,RM_0012,CL_00719,50602.6
IAP_000451,2026-05-21,RM_0006,CL_00340,86537.48
IAP_000585,2026-04-16,RM_0049,CL_00360,20130.88
IAP_000517,2026-04-06,RM_0004,CL_00168,16943.78
IAP_001826,2026-05-20,RM_0049,CL_00232,83622.81
IAP_000995,2026-06-06,RM_0004,CL_00483,44830.34
IAP_001973,2026-06-09,RM_0021,CL_00872,68293.91
IAP_000472,2026-05-25,RM_0040,CL_00181,87686.9
IAP_001137,2026-07-03,RM_0057,CL_00382,65995.12
IAP_001007,2026-06-09,RM_0033,CL_00843,40364.11
IAP_001170,2026-04-05,RM_0015,CL_00720,92222.4
IAP_001625,2026-05-26,RM_0056,CL_00718,48112.45
IAP_000918,2026-05-19,RM_0017,CL_00022,11848.15
IAP_001034,2026-06-18,RM_0002,CL_00118,28036.84
IAP_000991,2026-06-11,RM_0028,CL_00035,68770.85
IAP_000279,2026-05-07,RM_0058,CL_00124,18468.15
IAP_001003,2026-05-25,RM_0045,CL_00216,37292.32
IAP_001041,2026-05-31,RM_0058,CL_00929,24998.55
IAP_000593,2026-07-02,RM_0006,CL_00542,4612.29
IAP_000198,2026-06-07,RM_0010,CL_00698,45710.63
IAP_001336,2026-06-24,RM_0017,CL_00419,72626.51
IAP_002129,2026-05-05,RM_0001,CL_00650,45779.5
IAP_000683,2026-04-20,RM_0002,CL_00565,58170.56
IAP_001000,2026-04-24,RM_0015,CL_00813,28227.18
