Insurance_ID,Date,rm_id,client_id,Insurance_Amount
Insurance_000297,2026-05-04,RM_0057,CL_00583,141927.47
Insurance_001512,2026-07-01,RM_0002,CL_00335,183608.15
Insurance_001044,2026-05-01,RM_0017,CL_00301,36840.36
Insurance_001041,2026-06-06,RM_0001,CL_00783,133500.18
Insurance_001931,2026-05-01,RM_0027,CL_00503,140563.58
Insurance_001890,2026-04-06,RM_0015,CL_00008,125799.86
Insurance_002027,2026-05-02,RM_0047,CL_00632,98782.09
Insurance_000233,2026-05-28,RM_0021,CL_00545,157455.07
Insurance_001705,2026-05-14,RM_0060,CL_00344,19771.35
Insurance_002225,2026-06-26,RM_0007,CL_00112,45092.89
Insurance_000589,2026-04-16,RM_0022,CL_00089,33690.03
Insurance_000262,2026-05-15,RM_0041,CL_00150,77669.87
Insurance_001634,2026-05-29,RM_0052,CL_00385,96691.15
Insurance_000150,2026-05-20,RM_0017,CL_00255,85825.55
Insurance_000316,2026-06-24,RM_0004,CL_00668,42523.09
Insurance_001066,2026-06-05,RM_0043,CL_00634,27993.65
Insurance_000116,2026-04-24,RM_0049,CL_00302,125241.4
Insurance_001188,2026-04-28,RM_0011,CL_00682,148105.34
Insurance_002446,2026-05-15,RM_0039,CL_00651,113495.15
Insurance_002193,2026-04-17,RM_0015,CL_00059,166131.08
Insurance_002179,2026-04-17,RM_0043,CL_00624,188878.4
Insurance_001412,2026-05-30,RM_0043,CL_00400,160152.19
Insurance_002015,2026-05-31,RM_0040,CL_00910,29698.7
Insurance_002029,2026-05-28,RM_0040,CL_00036,188155.48
Insurance_000637,2026-04-15,RM_0028,CL_00832,158517.3
Insurance_001072,2026-04-30,RM_0011,CL_00737,184465.27
Insurance_001593,2026-06-16,RM_0049,CL_00749,55688.96
Insurance_000064,2026-06-28,RM_0045,CL_00290,135551.36
Insurance_002087,2026-04-08,RM_0017,CL_00022,12844.38
Insurance_001633,2026-05-25,RM_0053,CL_00038,58572.49
Insurance_001095,2026-04-25,RM_0004,CL_00065,42168.86
Insurance_000522,2026-06-20,RM_0040,CL_00181,22444.59
Insurance_002486,2026-04-26,RM_0040,CL_00644,169871.79
Insurance_000670,2026-05-12,RM_0045,CL_00901,164866.05
Insurance_000858,2026-04-19,RM_0017,CL_00111,14727.13
Insurance_001022,2026-06-22,RM_0004,CL_00627,163888.8
Insurance_001186,2026-06-14,RM_0006,CL_00646,8327.9
Insurance_000078,2026-05-21,RM_0053,CL_00148,170344.24
Insurance_001794,2026-05-08,RM_0002,CL_00433,58319.62
Insurance_000377,2026-05-16,RM_0015,CL_00356,104531.12
Insurance_000528,2026-05-16,RM_0033,CL_00064,160626.24
Insurance_002402,2026-06-19,RM_0015,CL_00709,123622.82
Insurance_001730,2026-04-07,RM_0001,CL_00222,135961.84
Insurance_001768,2026-04-10,RM_0012,CL_00713,65359.13
Insurance_001682,2026-05-14,RM_0041,CL_00324,127476.77
Insurance_001912,2026-05-03,RM_0004,CL_00460,33827.07
Insurance_000987,2026-04-17,RM_0043,CL_00306,117060.24
Insurance_000812,2026-05-24,RM_0039,CL_00175,83697.2
Insurance_000820,2026-05-07,RM_0043,CL_00856,135256.59
Insurance_002448,2026-06-19,RM_0041,CL_00589,132422.33
Insurance_000483,2026-04-11,RM_0010,CL_00805,142661.49
Insurance_001065,2026-05-01,RM_0027,CL_00286,81731.21
Insurance_000001,2026-06-30,RM_0052,CL_00731,171103.93
Insurance_001590,2026-06-10,RM_0049,CL_00526,112526.13
Insurance_000280,2026-04-20,RM_0043,CL_00245,130546.44
Insurance_000381,2026-05-01,RM_0058,CL_00652,43197.56
Insurance_001133,2026-07-04,RM_0039,CL_00885,143761.08
Insurance_001860,2026-04-16,RM_0041,CL_00324,138183.8
Insurance_002441,2026-04-09,RM_0040,CL_00571,109728.43
Insurance_001686,2026-06-07,RM_0043,CL_00197,106414.09
Insurance_000854,2026-04-08,RM_0031,CL_00654,135490.04
Insurance_000238,2026-06-22,RM_0049,CL_00140,55018.57
Insurance_001697,2026-06-08,RM_0047,CL_00017,16531.82
Insurance_000473,2026-06-06,RM_0033,CL_00293,134287.49
Insurance_002300,2026-05-13,RM_0049,CL_00291,38961.79
Insurance_000933,2026-05-01,RM_0028,CL_00106,50393.04
Insurance_000301,2026-05-05,RM_0021,CL_00027,141783.47
Insurance_000636,2026-05-27,RM_0043,CL_00432,54775.41
Insurance_002270,2026-05-28,RM_0028,CL_00045,197579.23
Insurance_000790,2026-04-18,RM_0049,CL_00114,57150.34
Insurance_002275,2026-05-07,RM_0002,CL_00898,62778.72
Insurance_001452,2026-04-29,RM_0015,CL_00720,75489.71
Insurance_000953,2026-05-05,RM_0027,CL_00149,169131.01
Insurance_000179,2026-04-29,RM_0015,CL_00117,175573.84
Insurance_001554,2026-06-25,RM_0004,CL_00560,155011.85
Insurance_000134,2026-06-20,RM_0043,CL_00624,189306.32
Insurance_000149,2026-06-07,RM_0004,CL_00168,59506.97
Insurance_000234,2026-05-16,RM_0031,CL_00332,32901.91
Insurance_002467,2026-05-30,RM_0033,CL_00002,169628.63
Insurance_001943,2026-06-06,RM_0027,CL_00371,130974.79
Insurance_001564,2026-06-21,RM_0012,CL_00713,43816.25
Insurance_000932,2026-06-21,RM_0004,CL_00728,26617.53
Insurance_000678,2026-05-18,RM_0035,CL_00513,18050.16
Insurance_000767,2026-06-09,RM_0045,CL_00570,84532.87
Insurance_001435,2026-06-29,RM_0041,CL_00859,156628.18
Insurance_000574,2026-06-07,RM_0033,CL_00703,114303.28
Insurance_001849,2026-05-29,RM_0012,CL_00486,99749.08
Insurance_000863,2026-04-29,RM_0002,CL_00256,90119.57
Insurance_002235,2026-06-10,RM_0027,CL_00134,82397.9
Insurance_000114,2026-05-29,RM_0006,CL_00477,116141.7
Insurance_001899,2026-05-27,RM_0022,CL_00417,78049.2
Insurance_000910,2026-04-24,RM_0021,CL_00636,102336.08
Insurance_000418,2026-04-21,RM_0049,CL_00674,52943.05
Insurance_001099,2026-04-15,RM_0006,CL_00405,8832.72
Insurance_000995,2026-05-05,RM_0033,CL_00869,75556.81
Insurance_002277,2026-06-10,RM_0053,CL_00637,144163.39
Insurance_000008,2026-05-23,RM_0045,CL_00312,60589.26
Insurance_002414,2026-05-26,RM_0017,CL_00645,148698.49
Insurance_000666,2026-06-10,RM_0004,CL_00728,158187.8
Insurance_001549,2026-05-10,RM_0037,CL_00345,86171.05
Insurance_000963,2026-05-02,RM_0009,CL_00339,120814.35
Insurance_000223,2026-06-19,RM_0054,CL_00816,44090.2
Insurance_000312,2026-04-19,RM_0044,CL_00258,67899.8
Insurance_001192,2026-04-17,RM_0017,CL_00759,43550.38
Insurance_000736,2026-06-17,RM_0045,CL_00570,191201.58
Insurance_001296,2026-06-08,RM_0053,CL_00220,138651.16
Insurance_001503,2026-06-07,RM_0015,CL_00748,67292.19
Insurance_000079,2026-05-02,RM_0033,CL_00784,57897.11
Insurance_000598,2026-06-25,RM_0001,CL_00554,6876.74
Insurance_000175,2026-04-08,RM_0037,CL_00445,26013.89
Insurance_000416,2026-04-14,RM_0047,CL_00738,92162.31
Insurance_000289,2026-05-29,RM_0041,CL_00337,117445.34
Insurance_001961,2026-06-06,RM_0041,CL_00150,178607.18
Insurance_001907,2026-05-13,RM_0049,CL_00410,167702.71
Insurance_001165,2026-06-06,RM_0045,CL_00411,109296.95
Insurance_000191,2026-06-08,RM_0039,CL_00175,54342.36
Insurance_001973,2026-05-05,RM_0001,CL_00459,56323.11
Insurance_001321,2026-07-03,RM_0060,CL_00177,176435.95
Insurance_000009,2026-06-15,RM_0028,CL_00524,143439.82
Insurance_000028,2026-06-11,RM_0033,CL_00666,182676.6
Insurance_000336,2026-05-12,RM_0004,CL_00168,111730.65
Insurance_000314,2026-05-25,RM_0041,CL_00397,96376.42
Insurance_000950,2026-05-04,RM_0001,CL_00803,8306.97
Insurance_000329,2026-04-15,RM_0045,CL_00411,66175.45
Insurance_001767,2026-04-12,RM_0039,CL_00675,151929.56
Insurance_000173,2026-05-28,RM_0002,CL_00479,73993.4
Insurance_001945,2026-04-12,RM_0027,CL_00448,107259.2
Insurance_000861,2026-05-10,RM_0049,CL_00235,167395.04
Insurance_002218,2026-07-03,RM_0031,CL_00292,88712.72
Insurance_001333,2026-04-20,RM_0006,CL_00542,16192.03
Insurance_000453,2026-04-25,RM_0017,CL_00419,108295.24
Insurance_002366,2026-06-15,RM_0040,CL_00052,20119.77
Insurance_000067,2026-06-28,RM_0060,CL_00676,57516.85
Insurance_000438,2026-04-21,RM_0057,CL_00382,79563.65
Insurance_001586,2026-04-11,RM_0033,CL_00701,36406.34
Insurance_001350,2026-07-04,RM_0049,CL_00114,33907.31
Insurance_000308,2026-04-15,RM_0027,CL_00710,64642.61
Insurance_001748,2026-05-11,RM_0035,CL_00663,185858.02
Insurance_001268,2026-05-02,RM_0043,CL_00525,127237.41
Insurance_000351,2026-05-22,RM_0049,CL_00136,17213.39
Insurance_001812,2026-04-07,RM_0056,CL_00194,84175.8
Insurance_002358,2026-05-31,RM_0056,CL_00536,108694.16
Insurance_002313,2026-04-17,RM_0004,CL_00377,33562.47
Insurance_002048,2026-05-03,RM_0060,CL_00388,6514.57
Insurance_002038,2026-06-10,RM_0059,CL_00694,85685.47
Insurance_001580,2026-06-27,RM_0056,CL_00536,65699.97
Insurance_001678,2026-05-19,RM_0028,CL_00163,91412.91
Insurance_000258,2026-05-04,RM_0064,CL_00249,164006.24
Insurance_001286,2026-06-23,RM_0001,CL_00650,87813.13
Insurance_001369,2026-06-07,RM_0008,CL_00727,159135.64
Insurance_001269,2026-04-11,RM_0060,CL_00248,51826.57
Insurance_000976,2026-05-04,RM_0027,CL_00710,122466.24
Insurance_000772,2026-05-16,RM_0043,CL_00851,80277.05
Insurance_002494,2026-04-09,RM_0033,CL_00745,134190.87
Insurance_000724,2026-05-15,RM_0012,CL_00238,102743.76
Insurance_002022,2026-07-02,RM_0001,CL_00899,16980.27
Insurance_002204,2026-04-07,RM_0015,CL_00389,82037.4
Insurance_001619,2026-06-10,RM_0037,CL_00472,133077.79
Insurance_001479,2026-05-16,RM_0040,CL_00052,132766.24
Insurance_001759,2026-06-02,RM_0054,CL_00298,95637.01
Insurance_001194,2026-05-22,RM_0049,CL_00218,121854.93
Insurance_000993,2026-06-04,RM_0039,CL_00826,42330.55
Insurance_000192,2026-04-08,RM_0028,CL_00264,113760.64
Insurance_000819,2026-05-14,RM_0017,CL_00707,123707.86
Insurance_000594,2026-06-28,RM_0027,CL_00614,155971.26
Insurance_000281,2026-07-03,RM_0016,CL_00707,153354.11
Insurance_000410,2026-06-07,RM_0027,CL_00884,108718.49
Insurance_000284,2026-06-10,RM_0053,CL_00005,9161.01
Insurance_001070,2026-04-13,RM_0017,CL_00149,138397.62
Insurance_000692,2026-04-25,RM_0001,CL_00824,128763.19
Insurance_002263,2026-06-27,RM_0022,CL_00879,100188.03
Insurance_002125,2026-04-29,RM_0001,CL_00824,174729.46
Insurance_001550,2026-05-12,RM_0058,CL_00247,113847.85
Insurance_000760,2026-04-18,RM_0017,CL_00092,13437.49
Insurance_001662,2026-05-26,RM_0001,CL_00477,75547.56
Insurance_000017,2026-05-18,RM_0039,CL_00156,60979.34
Insurance_001306,2026-06-02,RM_0015,CL_00726,29176.3
Insurance_002299,2026-06-29,RM_0057,CL_00237,168594.89
Insurance_000185,2026-04-30,RM_0002,CL_00171,183689.44
Insurance_000713,2026-04-15,RM_0058,CL_00466,71325.05
Insurance_002036,2026-05-10,RM_0039,CL_00487,79595.06
Insurance_000211,2026-05-27,RM_0041,CL_00488,11505.77
Insurance_002238,2026-06-11,RM_0044,CL_00357,177913.37
Insurance_002457,2026-05-14,RM_0037,CL_00695,181260.84
Insurance_001257,2026-05-29,RM_0009,CL_00269,48777.66
Insurance_002284,2026-06-11,RM_0004,CL_00555,151639.61
Insurance_000898,2026-05-31,RM_0027,CL_00042,94286.36
Insurance_002100,2026-05-02,RM_0041,CL_00397,170175.95
Insurance_000913,2026-04-26,RM_0002,CL_00030,43834.61
Insurance_001403,2026-05-06,RM_0028,CL_00045,126813.13
Insurance_001734,2026-04-20,RM_0059,CL_00208,108448.75
Insurance_002249,2026-04-12,RM_0045,CL_00660,41214.96
Insurance_001889,2026-05-06,RM_0001,CL_00330,188912.99
Insurance_000148,2026-04-16,RM_0035,CL_00513,71284.92
Insurance_001650,2026-04-20,RM_0002,CL_00256,135837.8
Insurance_000795,2026-05-08,RM_0015,CL_00449,142124.71
Insurance_001026,2026-06-30,RM_0059,CL_00069,195338.26
Insurance_002290,2026-05-31,RM_0027,CL_00842,182084.85
Insurance_001103,2026-04-16,RM_0056,CL_00198,55574.06
Insurance_001572,2026-04-24,RM_0010,CL_00031,114316.94
Insurance_000701,2026-06-14,RM_0053,CL_00633,143898.48
Insurance_000047,2026-04-11,RM_0060,CL_00344,120958.81
Insurance_000474,2026-05-15,RM_0040,CL_00334,30601.83
Insurance_001046,2026-04-06,RM_0028,CL_00143,61484.08
Insurance_001290,2026-05-02,RM_0017,CL_00022,163554.21
Insurance_001081,2026-06-15,RM_0027,CL_00331,119833.74
Insurance_002267,2026-04-13,RM_0039,CL_00623,91484.23
Insurance_002040,2026-05-21,RM_0001,CL_00824,193290.33
Insurance_002161,2026-04-24,RM_0027,CL_00665,58151.67
Insurance_000460,2026-07-01,RM_0044,CL_00677,186121.32
Insurance_000012,2026-04-10,RM_0004,CL_00740,66443.64
Insurance_000911,2026-06-23,RM_0017,CL_00419,143678.42
Insurance_000290,2026-04-13,RM_0006,CL_00646,136284.36
Insurance_000271,2026-06-24,RM_0037,CL_00364,46352.69
Insurance_000516,2026-06-20,RM_0045,CL_00426,53066.82
Insurance_000059,2026-05-16,RM_0053,CL_00131,89810.71
Insurance_000973,2026-06-16,RM_0068,CL_00820,66638.02
Insurance_001178,2026-05-19,RM_0006,CL_00730,43116.5
Insurance_000607,2026-04-26,RM_0027,CL_00087,81341.59
Insurance_001551,2026-06-01,RM_0053,CL_00116,154278.37
Insurance_001331,2026-05-16,RM_0033,CL_00259,93948.58
Insurance_002293,2026-06-13,RM_0004,CL_00829,170505.02
Insurance_001594,2026-05-26,RM_0006,CL_00456,130056.63
Insurance_000031,2026-04-16,RM_0057,CL_00498,181042.68
Insurance_001045,2026-06-12,RM_0035,CL_00663,148621.28
Insurance_001557,2026-06-17,RM_0027,CL_00294,66940.14
Insurance_000907,2026-06-03,RM_0002,CL_00084,173715.05
Insurance_001058,2026-06-18,RM_0047,CL_00848,122558.49
Insurance_001244,2026-05-30,RM_0017,CL_00302,114089.53
Insurance_001086,2026-05-20,RM_0002,CL_00084,27543.09
Insurance_001854,2026-06-12,RM_0002,CL_00398,195594.65
Insurance_000888,2026-06-28,RM_0027,CL_00426,29114.98
Insurance_001925,2026-06-28,RM_0049,CL_00741,154437.32
Insurance_001699,2026-04-12,RM_0010,CL_00625,147356.06
Insurance_001277,2026-04-23,RM_0040,CL_00052,24954.65
Insurance_002124,2026-05-26,RM_0027,CL_00399,49341.15
Insurance_000236,2026-05-20,RM_0049,CL_00817,160885.32
Insurance_001918,2026-06-19,RM_0002,CL_00534,40134.87
Insurance_001991,2026-05-30,RM_0007,CL_00820,14913.19
Insurance_002482,2026-04-18,RM_0015,CL_00735,85844.2
Insurance_000293,2026-04-07,RM_0047,CL_00314,188755.59
Insurance_001949,2026-05-21,RM_0047,CL_00738,189927.69
Insurance_000004,2026-07-02,RM_0006,CL_00405,35802.12
Insurance_000113,2026-05-10,RM_0045,CL_00034,185605.9
Insurance_000541,2026-05-26,RM_0045,CL_00120,26084.42
Insurance_002431,2026-05-23,RM_0027,CL_00600,151551.77
Insurance_001101,2026-06-23,RM_0006,CL_00841,100999.33
Insurance_001489,2026-05-11,RM_0058,CL_00586,153371.03
Insurance_000896,2026-05-13,RM_0053,CL_00850,85580.83
Insurance_001926,2026-06-03,RM_0033,CL_00253,92253.51
Insurance_000887,2026-05-13,RM_0033,CL_00367,24534.81
Insurance_000860,2026-06-11,RM_0016,CL_00446,108903.47
Insurance_001476,2026-06-11,RM_0053,CL_00148,40315.13
Insurance_002070,2026-04-13,RM_0039,CL_00547,175301.7
Insurance_001228,2026-06-20,RM_0045,CL_00687,49055.82
Insurance_001756,2026-05-05,RM_0041,CL_00420,101843.11
Insurance_000147,2026-05-12,RM_0002,CL_00183,193477.7
Insurance_001393,2026-04-18,RM_0058,CL_00574,144049.33
Insurance_000101,2026-04-26,RM_0028,CL_00106,138471.79
Insurance_001278,2026-05-20,RM_0022,CL_00401,184186.64
Insurance_001645,2026-04-14,RM_0028,CL_00145,72984.08
Insurance_001637,2026-06-17,RM_0004,CL_00504,174243.0
Insurance_001035,2026-05-30,RM_0053,CL_00595,166386.25
Insurance_001090,2026-06-01,RM_0001,CL_00280,30131.84
Insurance_000429,2026-06-27,RM_0040,CL_00154,120337.51
Insurance_002199,2026-07-01,RM_0002,CL_00161,98035.36
Insurance_001719,2026-04-18,RM_0006,CL_00354,74428.72
Insurance_000200,2026-05-10,RM_0059,CL_00491,123833.58
Insurance_002307,2026-06-23,RM_0049,CL_00279,150725.87
Insurance_000811,2026-06-27,RM_0012,CL_00893,72218.65
Insurance_000817,2026-06-14,RM_0012,CL_00238,65998.77
Insurance_000959,2026-05-11,RM_0045,CL_00312,60412.28
Insurance_001112,2026-05-07,RM_0001,CL_00783,107466.1
Insurance_001613,2026-05-28,RM_0027,CL_00502,64530.23
Insurance_000420,2026-07-03,RM_0054,CL_00597,141965.47
Insurance_000757,2026-04-26,RM_0033,CL_00745,70820.85
Insurance_002062,2026-04-18,RM_0008,CL_00722,75247.14
Insurance_001043,2026-05-27,RM_0009,CL_00499,80713.45
Insurance_002213,2026-05-22,RM_0033,CL_00044,55225.9
Insurance_001902,2026-05-07,RM_0012,CL_00225,90561.33
Insurance_000588,2026-04-08,RM_0053,CL_00148,118154.69
Insurance_002469,2026-04-07,RM_0058,CL_00473,183912.85
Insurance_000505,2026-04-22,RM_0015,CL_00792,158264.12
Insurance_000783,2026-05-31,RM_0047,CL_00391,144627.82
Insurance_002173,2026-05-18,RM_0008,CL_00717,18966.64
Insurance_000330,2026-05-09,RM_0006,CL_00244,40799.91
Insurance_000011,2026-04-16,RM_0049,CL_00764,180961.94
Insurance_000048,2026-04-16,RM_0058,CL_00673,45028.56
Insurance_001140,2026-05-11,RM_0043,CL_00160,170984.3
Insurance_001160,2026-06-07,RM_0001,CL_00790,155162.45
Insurance_002011,2026-06-30,RM_0053,CL_00626,30772.0
Insurance_001698,2026-05-17,RM_0021,CL_00444,25330.46
Insurance_001094,2026-05-01,RM_0043,CL_00033,7565.57
Insurance_001368,2026-04-07,RM_0006,CL_00456,141655.97
Insurance_002129,2026-04-26,RM_0057,CL_00326,89307.62
Insurance_000916,2026-07-02,RM_0033,CL_00402,39631.67
Insurance_002485,2026-06-29,RM_0015,CL_00407,72785.75
Insurance_002234,2026-04-27,RM_0039,CL_00379,155232.21
Insurance_001855,2026-04-13,RM_0002,CL_00335,24595.35
Insurance_001836,2026-04-13,RM_0058,CL_00466,133346.93
Insurance_001079,2026-06-22,RM_0033,CL_00259,16444.24
Insurance_000259,2026-06-02,RM_0001,CL_00790,163610.3
Insurance_000129,2026-06-18,RM_0017,CL_00708,54318.72
Insurance_000685,2026-04-28,RM_0035,CL_00261,164176.46
Insurance_001714,2026-05-27,RM_0004,CL_00418,188532.71
Insurance_000681,2026-04-07,RM_0041,CL_00379,78519.19
Insurance_000992,2026-05-23,RM_0006,CL_00456,155605.76
Insurance_001937,2026-06-17,RM_0047,CL_00603,110249.94
Insurance_000799,2026-05-06,RM_0043,CL_00229,154857.09
Insurance_000989,2026-06-27,RM_0008,CL_00454,152255.55
Insurance_001635,2026-04-30,RM_0045,CL_00576,41444.34
Insurance_001560,2026-06-16,RM_0027,CL_00090,122503.44
Insurance_001711,2026-04-25,RM_0002,CL_00055,32157.2
Insurance_000376,2026-04-29,RM_0037,CL_00890,122990.34
Insurance_002384,2026-04-10,RM_0001,CL_00004,73857.34
Insurance_001702,2026-07-03,RM_0053,CL_00833,150948.19
Insurance_001915,2026-04-23,RM_0039,CL_00802,73566.87
Insurance_001962,2026-05-13,RM_0033,CL_00174,82961.11
Insurance_002019,2026-05-27,RM_0010,CL_00119,155147.56
Insurance_000464,2026-04-08,RM_0037,CL_00678,116729.46
Insurance_000311,2026-04-08,RM_0001,CL_00051,24753.27
Insurance_001028,2026-06-25,RM_0041,CL_00416,167012.86
Insurance_000465,2026-05-18,RM_0027,CL_00110,47772.62
Insurance_001193,2026-05-28,RM_0040,CL_00181,33255.34
Insurance_000657,2026-04-18,RM_0004,CL_00810,42987.41
Insurance_001484,2026-04-27,RM_0028,CL_00100,85656.23
Insurance_001120,2026-06-13,RM_0057,CL_00672,88568.88
Insurance_002334,2026-05-05,RM_0049,CL_00409,18322.75
Insurance_000057,2026-06-30,RM_0028,CL_00035,125048.8
Insurance_002197,2026-06-09,RM_0015,CL_00720,176188.81
Insurance_001427,2026-04-14,RM_0015,CL_00437,139516.45
Insurance_000558,2026-06-03,RM_0039,CL_00598,188055.5
Insurance_000034,2026-06-11,RM_0009,CL_00688,170307.78
Insurance_000397,2026-05-03,RM_0037,CL_00445,192410.09
Insurance_002016,2026-06-01,RM_0004,CL_00836,115714.31
Insurance_000389,2026-06-14,RM_0015,CL_00013,136556.52
Insurance_000153,2026-06-17,RM_0031,CL_00332,191872.53
Insurance_002418,2026-04-14,RM_0043,CL_00160,66271.92
Insurance_001840,2026-04-28,RM_0057,CL_00248,119099.29
Insurance_002247,2026-04-20,RM_0045,CL_00779,144867.59
Insurance_001744,2026-05-25,RM_0037,CL_00867,145676.21
Insurance_000602,2026-04-10,RM_0040,CL_00571,7237.06
Insurance_002175,2026-06-22,RM_0033,CL_00666,160464.62
Insurance_001006,2026-04-25,RM_0001,CL_00822,35711.85
Insurance_002208,2026-04-07,RM_0010,CL_00109,118423.96
Insurance_001395,2026-04-30,RM_0010,CL_00625,23325.85
Insurance_000242,2026-04-10,RM_0028,CL_00549,115942.11
Insurance_001168,2026-05-27,RM_0012,CL_00593,8370.07
Insurance_002211,2026-04-16,RM_0040,CL_00334,74003.34
Insurance_002138,2026-05-27,RM_0016,CL_00321,7634.48
Insurance_000773,2026-06-16,RM_0002,CL_00010,20864.1
Insurance_000958,2026-05-12,RM_0004,CL_00205,49020.03
Insurance_001445,2026-05-01,RM_0027,CL_00864,95909.8
Insurance_001641,2026-04-21,RM_0002,CL_00213,88887.26
Insurance_001250,2026-05-05,RM_0002,CL_00335,37211.24
Insurance_001334,2026-05-14,RM_0008,CL_00722,123142.3
Insurance_002187,2026-06-05,RM_0012,CL_00238,165516.06
Insurance_002202,2026-06-21,RM_0059,CL_00389,149596.88
Insurance_000049,2026-06-26,RM_0002,CL_00856,88959.44
Insurance_001415,2026-06-22,RM_0004,CL_00661,109932.51
Insurance_001376,2026-05-21,RM_0043,CL_00648,50953.87
Insurance_002028,2026-05-20,RM_0002,CL_00213,88023.47
Insurance_000695,2026-05-03,RM_0006,CL_00542,11342.58
Insurance_001718,2026-05-15,RM_0004,CL_00075,75943.79
Insurance_001431,2026-07-01,RM_0016,CL_00246,149952.24
Insurance_001916,2026-04-19,RM_0052,CL_00870,7047.06
Insurance_000534,2026-06-05,RM_0060,CL_00057,40025.42
Insurance_000899,2026-05-14,RM_0028,CL_00776,182138.04
