TGS_ID,Date,rm_id,client_id,TGS_Amount
TGS_000219,2026-04-11,RM_0045,CL_00307,46846.96
TGS_002122,2026-04-21,RM_0028,CL_00275,50724.17
TGS_000440,2026-06-25,RM_0015,CL_00435,15142.9
TGS_000909,24-05-2026,RM_0009,CL_00339,20858.4
TGS_001559,2026-05-15,RM_0004,CL_00810,25070.51
TGS_002310,2026-05-25,RM_0016,CL_00734,51859.3
TGS_001474,2026-04-08,RM_0028,CL_00165,44369.67
TGS_002414,2026-04-10,RM_0039,CL_00885,48145.36
TGS_002535,2026-06-26,RM_0012,CL_00593,72243.06
TGS_000462,2026-04-26,RM_0041,CL_00507,48595.73
TGS_000980,2026-04-15,RM_0027,CL_00228,28363.28
TGS_000657,2026-05-14,RM_0017,CL_00707,55734.39
TGS_000654,2026-04-09,RM_0006,CL_00182,29792.36
TGS_002730,2026-05-17,RM_0028,CL_00045,48652.84
TGS_001622,2026-05-26,RM_0031,CL_00854,49494.12
TGS_001354,2026-06-19,RM_0016,CL_00734,46454.11
TGS_000871,2026-05-30,RM_0057,CL_00761,21151.75
TGS_000873,2026-04-22,RM_0049,CL_00766,23958.53
TGS_001508,2026-06-18,RM_0015,CL_00877,60482.51
TGS_000923,2026-06-16,RM_0006,CL_00265,32082.06
TGS_002192,2026-05-16,RM_0049,CL_00592,50124.12
TGS_002162,2026-04-10,RM_0002,CL_00408,23303.68
TGS_001511,2026-06-12,RM_0043,CL_00229,47880.91
TGS_000496,2026-06-30,RM_0058,CL_00516,38314.97
TGS_001268,2026-07-04,RM_0044,CL_00677,2655.19
TGS_000150,2026-04-19,RM_0031,CL_00428,30973.97
TGS_002566,2026-05-17,RM_0022,CL_00855,36319.21
TGS_001075,2026-05-04,RM_0027,CL_00087,41183.64
TGS_002683,2026-05-28,RM_0057,CL_00583,30716.54
TGS_002279,2026-07-02,RM_0028,CL_00533,62394.98
TGS_001013,2026-06-18,RM_0049,CL_00235,13420.12
TGS_002851,2026-05-05,RM_0001,CL_00051,27794.96
TGS_002403,2026-04-24,RM_0002,CL_00398,61344.3
TGS_000200,2026-06-18,RM_0028,CL_00243,45649.48
TGS_002754,2026-06-20,RM_0033,CL_00066,72397.38
TGS_000290,2026-05-05,RM_0037,CL_00695,57926.44
TGS_000167,2026-07-01,RM_0006,CL_00520,27842.62
TGS_001164,2026-04-15,RM_0053,CL_00220,62162.69
TGS_002682,2026-05-09,RM_0002,CL_00642,74775.95
TGS_002656,22-04-2026,RM_0010,CL_00625,10330.89
TGS_002710,2026-04-22,RM_0004,CL_00861,13027.53
TGS_000947,2026-04-08,RM_0010,CL_00119,70672.09
TGS_002800,2026-07-04,RM_0006,CL_00630,40093.14
TGS_002905,2026-05-07,RM_0039,CL_00760,59702.1
TGS_001719,2026-04-29,RM_0002,CL_00403,53156.78
TGS_001771,2026-04-16,RM_0047,CL_00017,31607.1
TGS_000568,2026-05-28,RM_0057,CL_00871,50426.75
TGS_000065,2026-06-10,RM_0039,CL_00310,27352.92
TGS_001076,2026-05-03,RM_0012,CL_00713,58459.58
TGS_001115,2026-05-24,RM_0040,CL_00152,16730.58
TGS_001285,2026-04-09,RM_0053,CL_00850,23770.94
TGS_002722,2026-04-09,RM_0027,CL_00671,15991.24
TGS_001868,2026-06-06,RM_0043,CL_00172,30284.55
TGS_001059,2026-05-16,RM_0040,CL_00052,45763.93
TGS_000241,2026-05-05,RM_0009,CL_00688,14562.99
TGS_001324,2026-06-19,RM_0001,CL_00650,11482.15
TGS_000069,2026-05-07,RM_0006,CL_00456,15619.75
TGS_001638,2026-04-22,RM_0056,CL_00536,60677.63
TGS_002323,2026-06-21,RM_0039,CL_00412,27967.62
TGS_002019,2026-06-30,RM_0039,CL_00262,25093.99
TGS_000176,2026-04-11,RM_0010,CL_00788,20851.45
TGS_001387,2026-04-15,RM_0007,CL_00452,32411.19
TGS_002126,2026-04-30,RM_0044,CL_00900,18621.05
TGS_000202,20-05-2026,RM_0004,CL_00168,22139.3
TGS_001310,2026-04-10,RM_0033,CL_00174,17672.8
TGS_000701,2026-06-15,RM_0031,CL_00057,14500.48
TGS_001782,2026-06-23,RM_0054,CL_00816,24968.57
TGS_002510,2026-05-25,RM_0041,CL_00029,46510.8
TGS_002728,2026-04-18,RM_0049,CL_00764,70356.96
TGS_002932,2026-06-24,RM_0028,CL_00275,29969.22
TGS_000442,2026-05-15,RM_0058,CL_00366,73201.46
TGS_002208,2026-06-03,RM_0043,CL_00422,16599.67
TGS_000484,2026-04-09,RM_0017,CL_00604,2989.34
TGS_001983,2026-05-03,RM_0015,CL_00792,18642.31
TGS_001519,2026-06-28,RM_0058,CL_00466,73610.03
TGS_000576,2026-06-16,RM_0028,CL_00288,43542.25
TGS_002569,2026-05-14,RM_0060,CL_00050,74648.89
TGS_002705,18-04-2026,RM_0054,CL_00559,3301.4
TGS_001715,2026-04-19,RM_0010,CL_00436,62808.07
TGS_002367,2026-04-26,RM_0043,CL_00229,7589.57
TGS_000279,2026-04-05,RM_0002,CL_00177,46572.49
TGS_001807,2026-04-25,RM_0060,CL_00388,70650.37
TGS_002623,2026-06-30,RM_0008,CL_00323,8721.61
TGS_001840,06-04-2026,RM_0017,CL_00708,28031.22
TGS_001650,2026-04-23,RM_0012,CL_00685,42304.91
TGS_000886,2026-04-10,RM_0044,CL_00801,57483.09
TGS_002518,2026-04-08,RM_0057,CL_00326,44980.58
TGS_002922,2026-04-19,RM_0028,CL_00832,29988.72
TGS_000055,2026-06-17,RM_0031,CL_00292,61726.19
TGS_000103,2026-04-18,RM_0027,CL_00563,47941.19
TGS_002626,2026-04-28,RM_0015,CL_00792,7611.46
TGS_001880,2026-06-23,RM_0002,CL_00403,67694.57
TGS_001128,2026-06-13,RM_0021,CL_00670,41868.59
TGS_001960,2026-06-02,RM_0028,CL_00352,39193.02
TGS_002240,2026-04-18,RM_0049,CL_00176,54733.86
TGS_000394,2026-05-29,RM_0015,CL_00720,28936.29
TGS_001600,2026-05-14,RM_0043,CL_00567,29187.97
TGS_000702,2026-06-29,RM_0011,CL_00777,46126.97
TGS_001942,2026-05-21,RM_0021,CL_00444,41003.99
TGS_002318,2026-06-18,RM_0058,CL_00586,12612.99
TGS_001423,2026-06-21,RM_0001,CL_00750,47236.26
TGS_001496,2026-06-23,RM_0033,CL_00132,61158.06
TGS_002854,2026-06-01,RM_0015,CL_00853,9503.25
TGS_000649,2026-04-09,RM_0007,CL_00112,66056.89
TGS_000704,2026-06-10,RM_0004,CL_00504,29701.78
TGS_000644,2026-06-01,RM_0015,CL_00797,57916.39
TGS_000634,2026-05-09,RM_0027,CL_00884,57641.54
TGS_001289,20-06-2026,RM_0053,CL_00220,8738.05
TGS_000487,29-04-2026,RM_0060,CL_00523,23973.72
TGS_000792,2026-06-20,RM_0011,CL_00777,48554.49
TGS_002266,2026-04-21,RM_0053,CL_00001,53703.22
TGS_001229,2026-05-19,RM_0004,CL_00504,53807.36
TGS_000779,2026-06-11,RM_0015,CL_00356,11957.19
TGS_001418,2026-05-23,RM_0033,CL_00538,54182.99
TGS_000464,2026-04-14,RM_0039,CL_00392,63842.02
TGS_002609,2026-07-01,RM_0058,CL_00473,69516.78
TGS_002390,2026-05-22,RM_0053,CL_00131,8539.36
TGS_002285,2026-05-08,RM_0015,CL_00621,66081.47
TGS_001215,2026-06-12,RM_0012,CL_00593,10902.77
TGS_001446,2026-05-09,RM_0044,CL_00258,43046.23
TGS_002314,2026-05-23,RM_0040,CL_00715,4773.37
TGS_000326,2026-05-07,RM_0004,CL_00075,26638.13
TGS_002123,2026-05-25,RM_0047,CL_00391,55925.49
TGS_000004,2026-04-05,RM_0002,CL_00118,65139.17
TGS_000615,2026-06-16,RM_0037,CL_00368,22242.26
TGS_000175,2026-04-05,RM_0054,CL_00907,7301.78
TGS_001659,2026-06-06,RM_0040,CL_00277,67178.61
TGS_002921,2026-06-06,RM_0047,CL_00738,3735.39
TGS_001181,2026-05-25,RM_0010,CL_00119,62912.13
TGS_001698,2026-07-01,RM_0047,CL_00732,11173.13
TGS_002349,2026-06-17,RM_0002,CL_00161,31117.92
TGS_001016,2026-06-05,RM_0049,CL_00166,74398.25
TGS_000531,2026-05-30,RM_0059,CL_00281,43089.64
TGS_000414,2026-04-11,RM_0022,CL_00413,42641.9
TGS_002191,2026-06-15,RM_0039,CL_00826,27076.92
TGS_000905,2026-05-26,RM_0017,CL_00317,46445.9
TGS_000636,2026-06-16,RM_0004,CL_00550,33033.69
TGS_001846,2026-06-15,RM_0058,CL_00473,37857.26
TGS_001978,09-05-2026,RM_0056,CL_00718,71586.32
TGS_000515,2026-06-09,RM_0027,CL_00331,5189.5
TGS_002904,2026-06-19,RM_0031,CL_00123,61770.04
TGS_001784,2026-04-20,RM_0007,CL_00820,22945.33
TGS_001906,2026-05-20,RM_0040,CL_00181,38284.43
TGS_000508,2026-06-07,RM_0028,CL_00275,49327.82
TGS_000228,2026-06-03,RM_0017,CL_00419,42336.82
TGS_002258,2026-05-27,RM_0004,CL_00007,25949.19
TGS_000158,2026-04-07,RM_0027,CL_00228,72659.62
TGS_001558,2026-05-06,RM_0008,CL_00727,30266.22
TGS_000265,2026-05-26,RM_0010,CL_00795,58975.53
TGS_001615,2026-06-30,RM_0049,CL_00610,61280.9
TGS_000232,2026-04-18,RM_0006,CL_00381,36076.56
TGS_001852,2026-06-23,RM_0060,CL_00523,28875.09
TGS_001041,2026-05-28,RM_0011,CL_00777,41320.33
TGS_000451,2026-05-20,RM_0045,CL_00120,63088.23
TGS_000443,30-05-2026,RM_0033,CL_00612,56765.62
TGS_001493,2026-04-07,RM_0039,CL_00310,1034.32
TGS_000351,2026-07-03,RM_0012,CL_00593,70836.73
TGS_000705,2026-06-08,RM_0058,CL_00342,51624.53
TGS_001375,2026-05-11,RM_0001,CL_00783,9813.1
TGS_002598,2026-04-27,RM_0049,CL_00561,37200.74
TGS_000709,2026-05-14,RM_0015,CL_00748,23603.09
TGS_000267,2026-04-20,RM_0049,CL_00817,30472.8
TGS_001905,2026-06-05,RM_0006,CL_00774,13263.33
TGS_002576,2026-05-18,RM_0016,CL_00319,12690.0
TGS_001644,2026-04-14,RM_0033,CL_00132,57609.94
TGS_000965,2026-05-07,RM_0021,CL_00311,51777.32
TGS_001320,2026-06-14,RM_0015,CL_00735,1853.9
TGS_000955,2026-05-21,RM_0058,CL_00506,72770.19
TGS_002356,2026-07-04,RM_0039,CL_00885,65935.4
TGS_000111,2026-04-25,RM_0006,CL_00647,31180.27
TGS_000581,2026-05-21,RM_0027,CL_00087,7077.92
TGS_001139,2026-04-28,RM_0039,CL_00487,32040.05
TGS_001073,2026-04-08,RM_0037,CL_00890,32486.04
TGS_001648,2026-06-13,RM_0004,CL_00733,17370.21
TGS_000140,2026-05-29,RM_0043,CL_00528,70670.79
TGS_000684,2026-05-18,RM_0043,CL_00233,73875.66
TGS_002449,2026-06-25,RM_0027,CL_00426,38060.21
TGS_001134,2026-05-18,RM_0058,CL_00574,63334.03
TGS_001182,2026-05-27,RM_0053,CL_00850,13707.64
TGS_001386,2026-04-09,RM_0039,CL_00717,53615.07
TGS_000632,2026-06-17,RM_0033,CL_00424,64535.01
TGS_000957,2026-05-27,RM_0004,CL_00104,63437.33
TGS_001447,2026-04-11,RM_0006,CL_00780,64957.79
TGS_002720,2026-05-09,RM_0016,CL_00143,65827.84
TGS_002106,2026-04-05,RM_0006,CL_00520,57187.68
TGS_000309,2026-04-24,RM_0049,CL_00592,5686.74
TGS_002802,2026-04-20,RM_0001,CL_00222,43409.99
TGS_002111,2026-06-09,RM_0045,CL_00411,57440.11
TGS_000870,2026-06-15,RM_0006,CL_00542,57807.81
TGS_002125,2026-05-28,RM_0008,CL_00552,43637.05
TGS_001532,22-05-2026,RM_0053,CL_00249,55846.62
TGS_001091,2026-04-24,RM_0043,CL_00567,1846.7
TGS_000711,2026-04-11,RM_0060,CL_00676,16412.21
TGS_002986,2026-04-10,RM_0028,CL_00605,30558.41
TGS_000085,2026-05-30,RM_0017,CL_00111,48787.42
TGS_002679,2026-07-02,RM_0012,CL_00685,49802.67
TGS_002492,2026-04-28,RM_0039,CL_00374,59912.96
TGS_000898,2026-04-13,RM_0037,CL_00468,3468.68
TGS_002836,2026-06-09,RM_0002,CL_00030,62793.29
TGS_002503,2026-06-10,RM_0027,CL_00076,45310.98
TGS_002060,2026-06-06,RM_0058,CL_00756,31968.75
TGS_002988,2026-06-28,RM_0015,CL_00692,30151.35
TGS_002811,2026-05-29,RM_0052,CL_00564,74606.82
TGS_001304,2026-04-21,RM_0010,CL_00835,38779.5
TGS_001718,2026-04-05,RM_0047,CL_00137,8940.92
TGS_000460,2026-05-07,RM_0010,CL_00141,32162.72
TGS_002864,2026-05-29,RM_0057,CL_00719,60107.27
TGS_001522,2026-04-10,RM_0049,CL_00409,36301.29
TGS_002226,2026-06-10,RM_0056,CL_00616,50023.74
TGS_002124,2026-05-24,RM_0017,CL_00645,21319.67
TGS_002949,2026-06-27,RM_0041,CL_00607,7212.93
TGS_001961,2026-04-17,RM_0006,CL_00265,70079.87
TGS_002933,20-04-2026,RM_0004,CL_00168,8363.56
TGS_002818,2026-04-17,RM_0002,CL_00398,35996.18
TGS_000274,2026-06-12,RM_0060,CL_00700,60112.09
TGS_000264,2026-04-27,RM_0060,CL_00344,9034.33
TGS_000410,2026-06-22,RM_0031,CL_00292,45383.75
TGS_002956,2026-04-12,RM_0009,CL_00339,67488.65
TGS_000619,2026-05-09,RM_0010,CL_00795,26179.23
TGS_001101,2026-05-06,RM_0006,CL_00630,70934.23
TGS_002078,30-05-2026,RM_0017,CL_00111,34897.7
TGS_000201,2026-06-23,RM_0057,CL_00686,19150.14
TGS_001498,2026-04-30,RM_0031,CL_00020,73350.83
TGS_000710,2026-05-28,RM_0004,CL_00483,27009.38
TGS_001603,2026-05-11,RM_0045,CL_00587,35803.39
TGS_002966,2026-05-09,RM_0028,CL_00133,4493.21
TGS_002089,2026-05-08,RM_0043,CL_00567,14673.5
TGS_002584,2026-04-14,RM_0027,CL_00149,26469.61
TGS_001767,2026-06-29,RM_0001,CL_00783,43041.7
TGS_001348,2026-07-03,RM_0057,CL_00248,6231.07
TGS_002334,2026-04-16,RM_0002,CL_00316,7412.07
TGS_002391,2026-06-01,RM_0057,CL_00093,47567.11
TGS_001045,03-06-2026,RM_0039,CL_00310,18155.39
TGS_001552,2026-04-19,RM_0021,CL_00340,2157.7
TGS_000884,2026-06-12,RM_0057,CL_00054,37664.91
TGS_001054,2026-06-15,RM_0058,CL_00673,25282.37
TGS_001416,2026-04-30,RM_0002,CL_00136,3755.4
TGS_001286,2026-06-10,RM_0015,CL_00437,14680.53
TGS_002244,2026-05-07,RM_0012,CL_00593,22436.87
TGS_002319,2026-04-05,RM_0006,CL_00646,63641.36
TGS_001539,2026-04-24,RM_0027,CL_00110,64812.18
TGS_000259,2026-05-22,RM_0022,CL_00503,18671.33
TGS_000063,2026-06-25,RM_0017,CL_00604,33909.03
TGS_001084,2026-04-18,RM_0057,CL_00248,27704.61
TGS_000976,2026-06-18,RM_0010,CL_00114,48110.66
TGS_002587,2026-05-11,RM_0043,CL_00306,43616.39
TGS_001392,2026-04-07,RM_0058,CL_00586,7065.3
TGS_002738,2026-05-22,RM_0041,CL_00379,57869.91
TGS_000775,2026-04-29,RM_0041,CL_00029,49960.86
TGS_000834,23-06-2026,RM_0059,CL_00764,20989.62
TGS_000396,2026-04-18,RM_0049,CL_00501,17665.24
TGS_002376,2026-04-26,RM_0049,CL_00561,4448.67
TGS_000344,2026-05-12,RM_0040,CL_00492,21417.0
TGS_002073,2026-06-21,RM_0053,CL_00833,59221.53
TGS_001112,2026-04-06,RM_0040,CL_00571,56608.54
TGS_002416,2026-04-13,RM_0009,CL_00269,69468.3
TGS_002780,07-05-2026,RM_0060,CL_00676,14918.27
TGS_000300,2026-06-09,RM_0056,CL_00545,48153.68
TGS_001815,2026-07-04,RM_0043,CL_00306,72436.12
TGS_002477,2026-06-16,RM_0021,CL_00847,13335.09
TGS_001272,2026-05-14,RM_0027,CL_00399,21432.51
TGS_000026,2026-05-12,RM_0001,CL_00283,54710.53
TGS_000933,2026-05-05,RM_0037,CL_00678,6033.66
TGS_002182,2026-04-16,RM_0012,CL_00719,37593.48
TGS_002735,2026-06-22,RM_0009,CL_00269,25080.6
TGS_002914,2026-06-20,RM_0008,CL_00164,29587.65
TGS_002017,2026-05-22,RM_0057,CL_00230,13672.71
TGS_002742,01-06-2026,RM_0002,CL_00403,35600.78
TGS_002113,2026-05-10,RM_0056,CL_00724,21107.26
TGS_001720,2026-06-16,RM_0004,CL_00483,15234.37
TGS_001236,2026-05-16,RM_0006,CL_00456,60987.42
TGS_000230,2026-06-08,RM_0021,CL_00101,14260.85
TGS_001039,2026-05-19,RM_0053,CL_00852,16289.81
TGS_001259,2026-04-12,RM_0058,CL_00828,19880.41
TGS_001940,2026-04-19,RM_0028,CL_00522,69593.69
TGS_002981,2026-04-29,RM_0016,CL_00474,3715.77
TGS_002072,2026-06-05,RM_0040,CL_00277,61411.05
TGS_000190,2026-06-09,RM_0015,CL_00121,39769.91
TGS_000216,2026-07-01,RM_0044,CL_00677,39113.26
TGS_000275,2026-04-14,RM_0028,CL_00143,14531.24
TGS_002525,15-04-2026,RM_0053,CL_00888,34464.6
TGS_002395,04-07-2026,RM_0027,CL_00556,27042.34
TGS_002265,2026-05-01,RM_0053,CL_00585,2623.94
TGS_002778,2026-04-21,RM_0015,CL_00877,7781.76
TGS_001985,2026-05-15,RM_0060,CL_00676,44214.24
TGS_002861,2026-04-27,RM_0039,CL_00156,74205.35
TGS_000482,2026-06-17,RM_0060,CL_00523,42748.5
TGS_000675,2026-05-13,RM_0040,CL_00036,41631.98
TGS_000405,2026-05-20,RM_0053,CL_00098,51097.13
TGS_001308,2026-04-11,RM_0022,CL_00003,21062.25
TGS_002581,2026-06-29,RM_0006,CL_00646,55209.0
TGS_002776,2026-07-03,RM_0049,CL_00217,46907.51
TGS_001401,2026-05-16,RM_0027,CL_00081,39436.67
TGS_001043,08-05-2026,RM_0028,CL_00288,52678.69
TGS_002842,2026-05-12,RM_0033,CL_00745,36017.93
TGS_000637,2026-04-24,RM_0040,CL_00492,12126.76
TGS_001281,2026-04-20,RM_0004,CL_00452,40472.89
TGS_001765,2026-04-23,RM_0035,CL_00261,49427.93
TGS_000135,2026-04-14,RM_0043,CL_00306,25180.55
TGS_002977,2026-07-02,RM_0017,CL_00022,21082.44
TGS_002899,2026-04-24,RM_0009,CL_00688,72149.31
TGS_000374,2026-04-06,RM_0053,CL_00924,61346.17
TGS_002438,2026-06-19,RM_0015,CL_00407,57175.08
TGS_001893,2026-05-16,RM_0040,CL_00492,49315.74
TGS_001844,2026-04-28,RM_0002,CL_00200,73135.59
TGS_002760,2026-06-16,RM_0017,CL_00602,21280.34
TGS_001739,2026-05-18,RM_0017,CL_00863,41325.65
TGS_002485,2026-04-19,RM_0027,CL_00097,66605.36
TGS_000604,2026-04-30,RM_0022,CL_00026,60351.87
TGS_002057,2026-06-29,RM_0021,CL_00103,71757.04
TGS_001624,11-05-2026,RM_0028,CL_00524,58079.04
TGS_000681,2026-06-25,RM_0043,CL_00804,2075.12
TGS_001032,2026-04-26,RM_0043,CL_00245,20420.53
TGS_000412,2026-04-21,RM_0059,CL_00469,70508.24
TGS_000914,2026-05-30,RM_0021,CL_00127,70229.22
TGS_000712,2026-06-05,RM_0028,CL_00527,67756.13
TGS_001864,2026-06-19,RM_0053,CL_00305,61209.03
TGS_001693,2026-06-10,RM_0039,CL_00568,2494.96
TGS_002070,2026-05-16,RM_0004,CL_00572,31716.0
TGS_000400,2026-04-14,RM_0004,CL_00453,58942.53
TGS_001042,2026-05-23,RM_0027,CL_00272,68193.71
TGS_001799,2026-05-22,RM_0008,CL_00493,56317.3
TGS_002164,2026-04-21,RM_0027,CL_00665,64006.11
TGS_001968,2026-05-25,RM_0006,CL_00012,62569.89
TGS_000537,2026-06-04,RM_0058,CL_00021,68569.37
TGS_001701,2026-07-04,RM_0017,CL_00347,12164.59
TGS_001758,2026-06-08,RM_0004,CL_00075,19416.55
TGS_000726,2026-05-16,RM_0049,CL_00217,5052.93
TGS_002639,2026-06-24,RM_0056,CL_00536,64850.54
TGS_002952,2026-04-27,RM_0027,CL_00076,55683.14
TGS_001232,2026-04-24,RM_0006,CL_00015,58957.21
TGS_001914,2026-06-21,RM_0004,CL_00210,24968.34
TGS_001691,2026-04-08,RM_0053,CL_00148,53764.42
TGS_002702,2026-04-21,RM_0021,CL_00101,71080.76
TGS_001822,2026-05-29,RM_0028,CL_00035,27696.71
TGS_000210,2026-06-12,RM_0033,CL_00002,33749.97
TGS_002659,2026-04-14,RM_0035,CL_00513,38706.58
TGS_002668,2026-06-06,RM_0004,CL_00159,50603.9
TGS_002413,2026-05-24,RM_0006,CL_00841,19837.96
TGS_002064,2026-05-09,RM_0027,CL_00710,31660.21
TGS_000258,2026-05-31,RM_0053,CL_00637,37412.21
TGS_001551,2026-06-18,RM_0002,CL_00898,19616.93
TGS_001686,2026-05-13,RM_0001,CL_00477,51999.55
TGS_000865,2026-06-19,RM_0056,CL_00536,53468.46
TGS_002022,2026-05-31,RM_0010,CL_00805,74923.5
TGS_002502,2026-06-16,RM_0001,CL_00072,13259.95
TGS_001517,2026-04-26,RM_0053,CL_00305,18969.42
TGS_001501,2026-04-27,RM_0004,CL_00483,53423.42
TGS_002635,2026-04-14,RM_0017,CL_00419,70536.52
TGS_000543,2026-06-04,RM_0009,CL_00269,52434.49
TGS_000648,2026-05-21,RM_0010,CL_00436,32295.21
TGS_002189,2026-04-22,RM_0027,CL_00286,69364.86
TGS_002870,27-04-2026,RM_0027,CL_00134,53403.98
TGS_000433,2026-05-01,RM_0040,CL_00334,2247.79
TGS_002891,2026-06-01,RM_0028,CL_00352,36897.5
TGS_002531,2026-05-26,RM_0022,CL_00580,27686.73
